scenario,forecast,statistic,estimate,bootstrap95_low,bootstrap95_high,n
S0_BASE,fcst_max_receptor_dd,mean,1.1362882968580281,1.112373647034234,1.158556661449541,58
S0_BASE,fcst_max_receptor_dd,p05,0.969822697471017,0.8681847023197129,1.072852966875509,58
S0_BASE,fcst_max_receptor_dd,p50,1.1405589340007403,1.122460558606761,1.1701183000430895,58
S0_BASE,fcst_max_receptor_dd,p95,1.272098529173612,1.2185085012922325,1.29513209642651,58
S0_BASE,fcst_max_receptor_dd,exceedance_frequency,0.0,0.0,0.0,58
S0_BASE,fcst_max_compliance_dd,mean,21.68243344862108,21.653461011469215,21.710958374100805,58
S0_BASE,fcst_max_compliance_dd,p05,21.469196816928132,21.415254197562255,21.557277818561825,58
S0_BASE,fcst_max_compliance_dd,p50,21.695627041447683,21.65583148769715,21.731948999715755,58
S0_BASE,fcst_max_compliance_dd,p95,21.845104678405633,21.80166393112604,21.861298954862207,58
S0_BASE,fcst_max_compliance_dd,exceedance_frequency,0.0,0.0,0.0,58
S0_BASE,fcst_stage4_mean_inflow,mean,37651.77236478144,37456.122838744996,37856.65371015422,58
S0_BASE,fcst_stage4_mean_inflow,p05,36241.784267637624,35784.282341076134,36994.71073910963,58
S0_BASE,fcst_stage4_mean_inflow,p50,37682.305592424564,37576.26849657575,37858.346933847526,58
S0_BASE,fcst_stage4_mean_inflow,p95,39018.0981241226,38261.553043633365,39148.22412996696,58
S0_BASE,fcst_stage4_mean_inflow,exceedance_frequency,0.0,0.0,0.0,58
S0_BASE,fcst_recovery_years,mean,26.67241379310345,26.413793103448278,26.948275862068964,58
S0_BASE,fcst_recovery_years,p05,25.0,25.0,25.85,58
S0_BASE,fcst_recovery_years,p50,27.0,26.0,27.0,58
S0_BASE,fcst_recovery_years,p95,28.15,28.0,29.0,58
S0_BASE,fcst_recovery_years,exceedance_frequency,0.0,0.0,0.0,58
S2_CONN,fcst_max_receptor_dd,mean,1.6522113529548859,1.616878326244522,1.6855299683005003,38
S2_CONN,fcst_max_receptor_dd,p05,1.4654047026145716,1.3550982623837555,1.5515236779128199,38
S2_CONN,fcst_max_receptor_dd,p50,1.6799551552834835,1.6270500542718196,1.6998216613996604,38
S2_CONN,fcst_max_receptor_dd,p95,1.8036901073667806,1.7404084612683803,1.851075092912432,38
S2_CONN,fcst_max_receptor_dd,exceedance_frequency,0.0,0.0,0.0,38
S2_CONN,fcst_max_compliance_dd,mean,28.77673933002369,28.70932959380946,28.830255749171478,38
S2_CONN,fcst_max_compliance_dd,p05,28.4845048493649,27.963985958601725,28.649602367020286,38
S2_CONN,fcst_max_compliance_dd,p50,28.798647351617156,28.77052342130918,28.846176630776984,38
S2_CONN,fcst_max_compliance_dd,p95,28.98449224073353,28.943429608216295,29.08435679969825,38
S2_CONN,fcst_max_compliance_dd,exceedance_frequency,0.0,0.0,0.0,38
S2_CONN,fcst_stage4_mean_inflow,mean,51883.3946790032,51465.88783421947,52307.16540390885,38
S2_CONN,fcst_stage4_mean_inflow,p05,50190.63647983984,48546.33615916735,50700.34826928903,38
S2_CONN,fcst_stage4_mean_inflow,p50,51696.87145375535,51087.07964609019,52414.04768612496,38
S2_CONN,fcst_stage4_mean_inflow,p95,54075.21626725866,53170.12415621577,54263.16648565184,38
S2_CONN,fcst_stage4_mean_inflow,exceedance_frequency,0.9473684210526315,0.868421052631579,1.0,38
S2_CONN,fcst_recovery_years,mean,24.657894736842106,24.31578947368421,25.0,38
S2_CONN,fcst_recovery_years,p05,23.0,23.0,23.85,38
S2_CONN,fcst_recovery_years,p50,25.0,24.0,25.0,38
S2_CONN,fcst_recovery_years,p95,26.15,25.15,28.0,38
S2_CONN,fcst_recovery_years,exceedance_frequency,0.0,0.0,0.0,38
S3_BUFF,fcst_max_receptor_dd,mean,2.0117086694989474,1.9048922855907127,2.1222758783192988,89
S3_BUFF,fcst_max_receptor_dd,p05,1.3486602391186948,1.1938548420622836,1.4861535267312649,89
S3_BUFF,fcst_max_receptor_dd,p50,1.9137079981068648,1.822937825584276,2.0712142855757563,89
S3_BUFF,fcst_max_receptor_dd,p95,2.8960034573137308,2.608846748718534,3.2024341044410085,89
S3_BUFF,fcst_max_receptor_dd,exceedance_frequency,0.4606741573033708,0.3595505617977528,0.5730337078651685,89
S3_BUFF,fcst_max_compliance_dd,mean,27.650216494129406,27.49446738814027,27.802004207509682,89
S3_BUFF,fcst_max_compliance_dd,p05,26.647219377388858,26.425087771479713,27.047228774229136,89
S3_BUFF,fcst_max_compliance_dd,p50,27.63506228314224,27.499584659907697,27.760781627056744,89
S3_BUFF,fcst_max_compliance_dd,p95,28.73869248291106,28.35623841885189,29.045896729985007,89
S3_BUFF,fcst_max_compliance_dd,exceedance_frequency,0.011235955056179775,0.0,0.033707865168539325,89
S3_BUFF,fcst_stage4_mean_inflow,mean,35073.532715884525,34581.74878624563,35549.418547917616,89
S3_BUFF,fcst_stage4_mean_inflow,p05,30992.340353034808,29282.150572530685,32129.398409937505,89
S3_BUFF,fcst_stage4_mean_inflow,p50,35196.47205104131,34804.11099688693,35636.21858143859,89
S3_BUFF,fcst_stage4_mean_inflow,p95,38726.20570399673,37804.951580663415,39368.09683816689,89
S3_BUFF,fcst_stage4_mean_inflow,exceedance_frequency,0.0,0.0,0.0,89
S3_BUFF,fcst_recovery_years,mean,35.38202247191011,34.764044943820224,35.994662921348315,89
S3_BUFF,fcst_recovery_years,p05,32.0,30.0,32.0,89
S3_BUFF,fcst_recovery_years,p50,35.0,34.0,36.0,89
S3_BUFF,fcst_recovery_years,p95,41.0,39.0,42.599999999999994,89
S3_BUFF,fcst_recovery_years,exceedance_frequency,0.9662921348314607,0.9213483146067416,1.0,89
S6_UPRISK,fcst_max_receptor_dd,mean,2.1841894962468498,2.138767428516147,2.2282916428790203,42
S6_UPRISK,fcst_max_receptor_dd,p05,1.9413571722465506,1.795949840233188,2.0304511681878052,42
S6_UPRISK,fcst_max_receptor_dd,p50,2.1975450270824552,2.1255951566611095,2.26054589940955,42
S6_UPRISK,fcst_max_receptor_dd,p95,2.413552558253125,2.3241213072635847,2.486439761535874,42
S6_UPRISK,fcst_max_receptor_dd,exceedance_frequency,0.8809523809523809,0.7857142857142857,0.9761904761904762,42
S6_UPRISK,fcst_max_compliance_dd,mean,29.65577987827218,29.568098233224426,29.748889914494242,42
S6_UPRISK,fcst_max_compliance_dd,p05,29.290074535854114,28.658211051068637,29.453351552491625,42
S6_UPRISK,fcst_max_compliance_dd,p50,29.595251217148892,29.54409676447959,29.70774850356256,42
S6_UPRISK,fcst_max_compliance_dd,p95,30.21807721718857,29.971735702248314,30.433828018524917,42
S6_UPRISK,fcst_max_compliance_dd,exceedance_frequency,0.11904761904761904,0.023809523809523808,0.21428571428571427,42
S6_UPRISK,fcst_stage4_mean_inflow,mean,50464.582638465356,49970.30561761055,50971.54130868757,42
S6_UPRISK,fcst_stage4_mean_inflow,p05,47988.82189228817,46689.36576098563,48934.89205737872,42
S6_UPRISK,fcst_stage4_mean_inflow,p50,50673.01700277692,49906.558047746235,50993.364020356545,42
S6_UPRISK,fcst_stage4_mean_inflow,p95,53260.63019741205,52328.88281189186,54210.676917444434,42
S6_UPRISK,fcst_stage4_mean_inflow,exceedance_frequency,0.6190476190476191,0.47619047619047616,0.7619047619047619,42
S6_UPRISK,fcst_recovery_years,mean,24.428571428571427,24.11904761904762,24.738095238095237,42
S6_UPRISK,fcst_recovery_years,p05,23.0,23.0,23.0,42
S6_UPRISK,fcst_recovery_years,p50,24.0,24.0,25.0,42
S6_UPRISK,fcst_recovery_years,p95,26.0,25.0,26.949999999999996,42
S6_UPRISK,fcst_recovery_years,exceedance_frequency,0.0,0.0,0.0,42
