scenario,forecast,threshold,n,n_exceed,frequency,wilson95_low,wilson95_high
S0_BASE,fcst_max_receptor_dd,1.25,58,5,0.08620689655172414,0.037385383126191135,0.18643629062873543
S0_BASE,fcst_max_receptor_dd,1.3,58,1,0.017241379310344827,0.0030500384460675004,0.09140858093468013
S0_BASE,fcst_max_receptor_dd,1.35,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.4,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.45,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.5,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.55,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.6,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.65,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.7,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.75,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.8,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.85,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.9,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,1.95,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.05,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.1,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.15,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.2,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.25,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.3,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.35,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.4,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.45,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.5,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.55,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.6,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.65,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.7,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_receptor_dd,2.75,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,24.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,24.25,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,24.5,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,24.75,58,0,0.0,0.0,0.062117855787202914
