scenario,source_type,source_name,forecast,n,spearman_rho,abs_rho,p_value
S0_BASE,conditioning observation,h_compliance_020y,fcst_max_compliance_dd,58,-0.618567166015565,0.618567166015565,2.283095488592845e-07
S0_BASE,conditioning observation,h_compliance_120y,fcst_max_compliance_dd,58,0.6166600018456428,0.6166600018456428,2.547243561228359e-07
S0_BASE,conditioning observation,h_receptor_005y,fcst_max_compliance_dd,58,0.3411055400043065,0.3411055400043065,0.0087844537316817
S0_BASE,conditioning observation,h_receptor_020y,fcst_max_receptor_dd,58,-0.9605647666799964,0.9605647666799964,8.207151377301483e-33
S0_BASE,conditioning observation,h_receptor_120y,fcst_max_receptor_dd,58,0.7446860869297733,0.7446860869297733,2.0619476753074623e-11
S0_BASE,conditioning observation,h_receptor_010y,fcst_max_receptor_dd,58,-0.6893783260020303,0.6893783260020303,2.179580557642152e-09
S0_BASE,conditioning observation,h_compliance_120y,fcst_recovery_years,58,0.4749350693085161,0.4749350693085161,0.0001652313555904
S0_BASE,conditioning observation,h_receptor_120y,fcst_recovery_years,58,0.4668146007990173,0.4668146007990173,0.000220878235682
S0_BASE,conditioning observation,h_receptor_005y,fcst_recovery_years,58,0.4480701201288698,0.4480701201288698,0.0004201711716369
S0_BASE,conditioning observation,q_mineinflow_020y,fcst_stage4_mean_inflow,58,0.9880648435817774,0.9880648435817774,3.452888690321738e-47
S0_BASE,conditioning observation,q_mineinflow_015y,fcst_stage4_mean_inflow,58,0.7496078009166692,0.7496078009166692,1.2856865377344956e-11
S0_BASE,conditioning observation,q_mineinflow_010y,fcst_stage4_mean_inflow,58,0.6411455289304501,0.6411455289304501,5.8969754778895664e-08
S2_CONN,conditioning observation,h_compliance_020y,fcst_max_compliance_dd,38,-0.7544589123536493,0.7544589123536493,4.484085263543852e-08
S2_CONN,conditioning observation,h_compliance_120y,fcst_max_compliance_dd,38,0.5561877667140824,0.5561877667140824,0.0002881233657842
S2_CONN,conditioning observation,h_compliance_050y,fcst_max_compliance_dd,38,0.3988401356822409,0.3988401356822409,0.0131243648337062
S2_CONN,conditioning observation,h_receptor_020y,fcst_max_receptor_dd,38,-0.9638910165225952,0.9638910165225952,2.812319898443676e-22
S2_CONN,conditioning observation,h_receptor_010y,fcst_max_receptor_dd,38,-0.7102527628843418,0.7102527628843418,5.890890746395278e-07
S2_CONN,conditioning observation,h_receptor_120y,fcst_max_receptor_dd,38,0.6758945179997812,0.6758945179997812,3.2135374983227285e-06
S2_CONN,conditioning observation,q_mineinflow_020y,fcst_recovery_years,38,-0.5692992609156321,0.5692992609156321,0.0001914131434115
S2_CONN,conditioning observation,q_mineinflow_015y,fcst_recovery_years,38,-0.5000803946784694,0.5000803946784694,0.0013885219752661
