,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0035,21.726872043194216,1.288058550514151,27.0,37521.3456714347,40.47673518539139,31.0807675160992,23.816667872395588,23.007729499591893,35.24824454105924,44.008386892375306,44.631965360139354,40.43227411441532,41.69039925434478,41.52962467621541,41.05030186247738,40.436319916217336,41.65446779955967,41.7197712881949,12137.356514076935,31273.258368234332,40063.78813147127,36676.31952386726
real_0029,21.804546447796017,1.2279774684944442,27.0,35994.28006340192,40.4907361330986,31.163066123369806,23.746593033556984,22.89732849983761,35.3210987163861,43.96674837579111,44.589224947336646,40.40842120709722,41.69135848423202,41.53983459335672,41.11650460667996,40.48106204770774,41.64332153135356,41.70392557122111,11705.227024971071,30456.691354438033,38946.764006968064,35270.423908451165
real_0032,21.629360740535365,1.0879006513930065,26.0,37614.53445897711,40.48916115699532,31.090471926310226,23.798119403690546,23.028391010874277,35.30803593200999,44.02623845455639,44.5508228816919,40.461310916300526,41.68008996973953,41.53262238639124,41.13203298912353,40.599882498125176,41.63506298366282,41.683958804604686,12344.605677419482,32195.11381829887,40880.50918379823,37006.668588678454
real_0089,21.717432110602573,1.0733759382517434,26.0,38036.986884034384,40.45562276252819,31.1660231014907,23.922361205240264,23.00148040039182,35.24648060568958,44.10151406204728,44.6260638446824,40.43525045462122,41.60250750993331,41.48944886157414,41.09857864658484,40.57721724446931,41.60243597155198,41.646946149212326,12374.535996917944,31701.241225148566,40454.85728060207,37183.94824579512
real_0028,21.80108385009654,0.8808588910360271,29.0,38818.32051660812,40.44589960402353,31.080231854452645,23.94142986636766,23.04549054323305,35.323390941587355,43.98779001317309,44.68524858622044,40.57865838023089,41.66692718223809,41.527062225838236,41.205411303898046,40.782524717511876,41.60209201518326,41.65740992615595,12715.62408216077,31981.96658747604,41005.40763277649,37999.17462561556
real_0068,21.52273951975834,1.0981100989990367,27.0,37281.38531087666,40.34276181622499,30.981659893713424,23.80843007650866,23.16168948180033,35.394161711051986,43.93972912693895,44.55999739067591,40.3595542751618,41.73476697726409,41.533528297638206,41.14255463908963,40.59637274628985,41.62858728677731,41.689108997463904,12576.651353044675,31918.091824866766,40394.15285721625,36564.23469376507
real_0069,21.822929391271877,1.1457235377179344,27.0,37184.01630728899,40.47894894836665,31.094374569085858,23.913899244761506,22.97131279384454,35.26401413742333,44.03903210870565,44.66239711553071,40.40694691804661,41.72222876755152,41.54093488681408,41.12429856113261,40.564294771194746,41.64262434458839,41.70415381732348,12203.631180258126,31042.84916302069,39462.78230140902,36350.18188159894
real_0099,21.66503709236403,1.1808873001970142,26.0,39111.08143807486,40.45189638277866,31.065535355844887,23.878187895637915,23.097347671124567,35.27082250285806,44.137230008507984,44.63374657926445,40.33272912962196,41.6881523226941,41.52950898607226,41.09333406595591,40.522279047834736,41.64765118437367,41.6979406916364,13057.317085864557,33142.3235362618,41801.14722410253,38465.55435627419
real_0011,21.681913244937913,1.1087571444673685,27.0,37577.08369729239,40.47167425755442,31.16592714220967,23.804088278903006,23.016851553676982,35.35223051829402,43.96109789970928,44.57657995658812,40.29654024773583,41.64901938703358,41.50966961572113,41.10095003908626,40.5675684041877,41.61363146708835,41.67073216173538,12408.471904845868,31954.542512516466,41093.96340974294,37022.102789677316
real_0012,21.33818443052878,1.0803710692912531,25.0,36285.46148014981,40.42113153357942,31.055487842426434,23.88016078528129,23.192094503217792,35.33726969923599,43.926193279676795,44.43097218270493,40.446489472734996,41.64300064108271,41.509794577654915,41.104453493542366,40.586817468002785,41.61734583813785,41.66340588200102,11602.459815058439,30645.932233724106,39074.82326955305,35654.29468992083
real_0075,21.713921664271382,1.1782433326239925,26.0,37825.9496579244,40.495867392186234,31.21868072049919,23.82489010322284,22.956514233797208,35.19868024726369,44.05277471870257,44.56447544701679,40.4143769105685,41.62433358274186,41.50387991615735,41.06545689633927,40.501015794359546,41.62518165642638,41.67452737614618,12058.238406599834,31452.450662853917,40670.172239132604,37163.72690772222
real_0002,21.65020457186029,1.1129790756802436,26.0,37648.80162950852,40.504202231909005,31.065008848576227,23.66160257182006,22.978837226504925,35.25392831109874,44.01628676915434,44.5531917137114,40.45168041602988,41.601787116527525,41.494489270436475,41.085728048104976,40.54613879998569,41.61217186059839,41.656162998347696,12473.712391314515,32952.24845574613,41744.68209963915,37000.13715756313
real_0004,21.851721037859576,1.1388114416931074,29.0,37460.72479850253,40.387308702291676,30.860072928791503,23.751576804709806,23.05937703168761,35.21413270620441,44.00806229307559,44.76536380280265,40.405305249646545,41.67999367149623,41.52154586581845,41.09732035897029,40.56089558115263,41.619780180831796,41.693499502907116,13045.9594996196,32102.233440721393,40246.444324119824,36647.68700152398
real_0006,21.84496716338905,1.1563231745067668,27.0,39016.270689914105,40.47785399575869,31.064902175972758,23.839509069114175,22.913990641312587,35.25089264964244,44.042712811043174,44.63350172305354,40.45897850101373,41.647182346376056,41.50656863306674,41.07348432107018,40.52640736993045,41.621094837571356,41.67717185592527,12635.077731904774,32530.521591150435,41495.74828173255,38157.55057012579
real_0008,21.570311673042486,1.131125410734704,27.0,36317.15986993585,40.41322038333462,31.063638684006325,23.876689771600446,23.233561953044433,35.39007212019716,44.08057628641276,44.64289034864395,40.53806995670842,41.6525213682628,41.52189266374597,41.103884448241075,40.56375123025376,41.63185038598405,41.687656600278714,12298.113283100676,30934.850670873107,39391.51989376347,35810.94405064113
real_0009,21.42885474468581,1.1915959257485724,26.0,37397.262728907444,40.41215777275282,31.117291835650025,23.856287599983297,23.206404162843665,35.483874819654375,43.98218566623212,44.53159623511943,40.414389643270866,41.64631901359541,41.50262842189877,41.06829489251707,40.49029073123587,41.62618261658234,41.67709752278119,12442.700242860014,32241.952748889147,41060.69808264442,36806.541821273495
real_0010,21.775087500886396,1.230472987592563,28.0,37993.998084973064,40.4714869358649,31.055033582544258,23.84942903742177,23.09900011489749,35.15777777575369,44.05750551191344,44.75104200228017,40.53971005238519,41.69718416126163,41.5450424088858,41.09306805659105,40.50333314639011,41.65639259451281,41.72809973046013,12991.330555464325,32754.041014968858,41266.86946654261,37328.045683697375
real_0018,21.6973381518465,1.1044476491972262,26.0,37899.78193209825,40.44820683738727,31.019094806840027,23.76144384514296,22.98970396873428,35.35238356125727,44.03179753142011,44.57908181701943,40.30076208707632,41.70743875587228,41.52390044932242,41.121995351210174,40.5813108626231,41.63087907930425,41.68136087120642,12593.236458119367,32431.362909839347,41085.51985496502,37217.04639234402
real_0019,21.750084179417357,1.2374130859712622,27.0,37751.721652125765,40.54121639905706,31.070977227291273,23.743416380446245,22.94748743452135,35.23454987046348,43.98052081362413,44.585165235776,40.42768066196086,41.70385243839664,41.538419810603855,41.0823200097598,40.479977267847445,41.64966862785798,41.712232925228605,12220.051206055472,32256.033589363586,41130.89771459308,37078.15874899078
real_0020,21.6074393079983,0.9641169472787254,26.0,39028.45358463744,40.39843335164714,30.987648728080842,23.709080902667242,23.11375198982786,35.28213625860343,44.066821366770476,44.63073433648102,40.66001846677046,41.629824757516076,41.50619925245482,41.13968372033401,40.6965990648973,41.616085093107934,41.65743998674622,13085.401356149834,33564.181195050856,42461.894020155894,38305.9413692528
real_0021,21.660859882387,1.1947462409556238,26.0,37044.8167276534,40.45281080625787,31.02297251647367,23.73560224231006,22.95426714576991,35.21607976962346,43.941494200935324,44.510180575859955,40.45211129008585,41.674102074023715,41.515841009053496,41.07013211274905,40.495322349297304,41.62730621453611,41.685617807859835,11893.393520890535,31316.641764534885,40015.68011571635,36390.530262889064
real_0022,21.496628425824227,1.1718844729945914,26.0,38093.57109792925,40.35248599798431,31.008212002898425,23.74395573248093,23.092099639771142,35.3103484956709,43.92579242486413,44.47894408150339,40.50598901216383,41.647486104281874,41.50249471034073,41.05537061459236,40.5147628292425,41.629554024133526,41.68175572333425,12469.833292206078,32259.38618546084,41419.40388659477,37438.67694894746
real_0023,21.453854599077353,1.1651122792149735,27.0,38213.70033329902,40.482637309519085,31.198838156117013,24.046782275453957,23.26524495024421,35.249280482929436,43.960543892756476,44.60140831328883,40.41123521388516,41.69396971869005,41.52557835777595,41.104236746815666,40.533175853668055,41.632757411613525,41.69298474091915,12963.537760023795,33098.062958955226,41657.25082539291,37451.736917944116
real_0026,21.762858629925375,1.1131432326843083,27.0,37346.07684341601,40.441643676081235,31.091442363342985,23.894681320345875,22.89663514954026,35.38037184460857,43.88823105828946,44.52013552890161,40.460519123096596,41.68572593748032,41.53205991497273,41.14352019082596,40.57514068249871,41.623046749663786,41.68249342714185,11943.295196240262,30883.51027444347,39445.272955228604,36484.19563296649
real_0030,21.710800438484796,1.3128771630504374,27.0,37454.9705727315,40.32864621893115,30.968495092331384,23.714770481508655,22.964076703130317,35.21759399677278,43.92400928901338,44.53754932683846,40.40813067435596,41.664106093985716,41.522227051143304,41.06648830948272,40.399439810152025,41.6432389557585,41.70575269739568,12653.80226356217,32146.71521174448,40448.65419295947,36759.385945713286
real_0031,21.519421568953714,1.1767358273227515,28.0,35881.16711518718,40.36716899576512,31.001448447945886,23.872017121259724,23.191243589550606,35.3256122877621,43.93179858257576,44.545926156342645,40.47205136845439,41.631878076961996,41.50151151140587,41.058555274688445,40.508923423387955,41.61443509143215,41.6775175012863,11950.605013439788,30155.991971304233,38608.19553308189,35239.04433344117
real_0034,21.66351865141058,1.1383722881845344,25.0,37397.277328018026,40.41791550972669,31.021354480141177,23.814455617540958,23.01520917586915,35.32621113471124,44.06596194596373,44.547815870876214,40.405025604968074,41.604362673416276,41.49805666690176,41.08488337306369,40.524046181949,41.610617632896336,41.65727104823126,12479.449488941944,31851.867979096092,40423.837815021136,36784.98982236239
real_0036,21.60112985955853,1.103206499291538,26.0,39358.699384022206,40.409143676472056,31.13815521034667,23.987739586229736,22.978888913773122,35.189923634458005,43.95349523955299,44.472747514329896,40.56949275847525,41.62614094062324,41.496283937799284,41.083362358951405,40.56338400628774,41.61681836651713,41.662287467633426,12625.704111162835,32534.537598572206,41472.95117201624,38405.15653642148
real_0038,21.6508030930073,1.1264428374509379,25.0,37952.91415999772,40.41507633708972,31.039598549609092,23.84030644013106,23.032762717472036,35.243166233523915,44.100881569397295,44.576454002172724,40.41333956287582,41.647273494948486,41.504669746367945,41.0941982165515,40.543878211953135,41.622258417669016,41.66602736224164,12526.978306115187,32101.748202739596,40647.912578937176,37265.04719842531
real_0039,21.915573817877117,1.1185811677029704,28.0,37092.843530214435,40.44189534234109,31.001731705487924,23.76924078782982,22.825409478595716,35.17788301158794,43.91999960147246,44.62097753587233,40.52127265905011,41.640283537252756,41.50914383222509,41.09947474962721,40.5600842849136,41.60900092094528,41.67331539105919,12311.309315632341,31404.031384629805,39835.365243131055,36289.13745721588
real_0040,21.56395833319855,1.1236098900945635,26.0,37579.989793710876,40.3799940119317,30.959614842346763,23.87899381378019,23.139912372749563,35.34327529220757,44.04983783720725,44.59235316545593,40.52658588091269,41.6128217468723,41.487232083785244,41.06239974614863,40.54066876640087,41.607962179984476,41.65962116348521,12628.289387246667,32039.98145311152,40408.82163094364,36813.17564430239
real_0044,21.63534790914771,1.1871955804788428,25.0,38169.45491168324,40.532863255380555,31.092845548355772,23.848452016469796,22.985241984902046,35.152405612679,44.03510702849297,44.52952608068223,40.38530140055691,41.64346087978217,41.49865382475205,41.04149877505161,40.489764269584775,41.625688987125166,41.67292081830577,12174.346712131006,32161.35018249006,40993.873346423796,37475.80789345644
real_0046,21.72976561974147,1.1582962125259897,26.0,37652.10542673699,40.41620616505878,31.00801075216511,23.779372657561968,23.04087251410941,35.30162642167625,44.09752683833845,44.65116997296703,40.57039736551639,41.658209141146195,41.517429280914406,41.09577690760603,40.53863592851555,41.63970856274092,41.691512166162966,12611.368790914048,32015.647446164458,40561.65938740109,36967.7083002056
real_0047,21.47190426713709,1.1042661900027895,29.0,37839.282332148505,40.521009664233056,31.195023168999583,23.869563162044305,23.200365629778567,35.322200223043865,43.81754314514257,44.556377910906086,40.43478167159514,41.692493680701396,41.51980591329396,41.1185988872629,40.57872255484392,41.61553372730712,41.67801508474528,12662.639495462709,33110.57940865051,42057.552339658774,37194.66688037611
