iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
0,75,base,base,0,0,0,0,3.63774e-18,8.22872e-19,7.28889e-18,8.64838e-21
0,75,real_0001,real_0001,0,0,0,0,660.828,0.0765109,0.0326575,0.336559
0,75,real_0002,real_0002,0,0,0,0,838.8,2.80742,6.35178,16.6434
0,75,real_0003,real_0003,0,0,0,0,877.314,18.6824,39.2591,107.749
0,75,real_0004,real_0004,0,0,0,0,3754.66,0.256036,2.22102,9.08908
0,75,real_0006,real_0006,0,0,0,0,6827.75,31.6437,44.177,9.50717
0,75,real_0008,real_0008,0,0,0,0,3107.87,8.37249,6.67091,91.2172
0,75,real_0009,real_0009,0,0,0,0,4841.64,2.11455,1.12382,29.9483
0,75,real_0010,real_0010,0,0,0,0,3671.6,11.856,11.6224,100.323
0,75,real_0011,real_0011,0,0,0,0,60.3261,2.04698,0.648289,7.59365
0,75,real_0012,real_0012,0,0,0,0,529.17,11.49,12.6802,60.5671
0,75,real_0017,real_0017,0,0,0,0,174.712,39.2658,104.908,5.86173
0,75,real_0018,real_0018,0,0,0,0,679.877,16.7487,14.093,23.4524
0,75,real_0019,real_0019,0,0,0,0,31.144,0.278477,0.681479,5.10225
0,75,real_0020,real_0020,0,0,0,0,220.018,3.11635,1.61539,3.80063
0,75,real_0021,real_0021,0,0,0,0,449.665,2.27286,2.30215,112.827
0,75,real_0022,real_0022,0,0,0,0,425.165,1.6531,3.25492,16.4847
0,75,real_0023,real_0023,0,0,0,0,2311.53,6.49881,7.65721,1.04107
0,75,real_0026,real_0026,0,0,0,0,63.5607,0.188187,0.126754,14.0762
0,75,real_0027,real_0027,0,0,0,0,3284.81,7.21966,5.37043,52.1456
0,75,real_0028,real_0028,0,0,0,0,1571.18,7.11274,9.07424,0.404656
0,75,real_0029,real_0029,0,0,0,0,115.449,1.90574,2.46629,54.031
0,75,real_0030,real_0030,0,0,0,0,4724.85,29.3637,77.8932,204.288
0,75,real_0031,real_0031,0,0,0,0,423.697,3.72946,4.57102,86.3044
0,75,real_0032,real_0032,0,0,0,0,1195.02,2.90114,2.18524,26.2718
