iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,6,10,1427.11,1754.57,0.75,1,121.343,207.362
1,5,10,1427.11,1754.57,1,1,58.7689,79.2301
1,5,10,1427.11,1754.57,1.1,1,49.8771,89.672
1,6,10,1427.11,1754.57,0.75,10,165.746,214.547
1,4,10,1427.11,1754.57,1,10,90.8367,107.783
1,4,10,1427.11,1754.57,1.1,10,79.1077,126.272
1,7,10,1427.11,1754.57,0.75,100,205.1,259.131
1,7,10,1427.11,1754.57,1,100,99.398,107.373
1,6,10,1427.11,1754.57,1.1,100,79.5576,106.514
2,6,0.75,41.5896,59.3474,0.75,0.075,2.628,1.6203
2,6,0.75,41.5896,59.3474,1,0.075,1.43473,0.961889
2,6,0.75,41.5896,59.3474,1.1,0.075,1.31427,0.992322
2,6,0.75,41.5896,59.3474,0.75,0.75,3.31314,2.03432
2,6,0.75,41.5896,59.3474,1,0.75,1.95666,1.13968
2,6,0.75,41.5896,59.3474,1.1,0.75,1.71603,1.09024
2,6,0.75,41.5896,59.3474,0.75,7.5,6.66242,4.51863
2,6,0.75,41.5896,59.3474,1,7.5,5.2192,3.18462
2,6,0.75,41.5896,59.3474,1.1,7.5,4.77372,2.79058
3,5,0.05625,1.77137,1.56295,0.75,0.005625,0.807919,0.825525
3,5,0.05625,1.77137,1.56295,1,0.005625,0.726296,0.745604
3,5,0.05625,1.77137,1.56295,1.1,0.005625,0.696799,0.715558
3,5,0.05625,1.77137,1.56295,0.75,0.05625,0.817604,0.834463
3,5,0.05625,1.77137,1.56295,1,0.05625,0.737721,0.756798
3,5,0.05625,1.77137,1.56295,1.1,0.05625,0.708746,0.727546
3,5,0.05625,1.77137,1.56295,0.75,0.5625,0.889134,0.900258
3,5,0.05625,1.77137,1.56295,1,0.5625,0.823683,0.838995
3,5,0.05625,1.77137,1.56295,1.1,0.5625,0.79922,0.815545
