obsnme,kind,series_name,time_years_total,obsval,weight,obgnme
h_compliance_005y,head,compliance,5.0,40.44488604017402,4.0,head_compliance
h_compliance_010y,head,compliance,10.0,31.05363523314429,4.0,head_compliance
h_compliance_015y,head,compliance,15.0,23.8072907447189,4.0,head_compliance
h_compliance_020y,head,compliance,20.0,23.027806837028155,4.0,head_compliance
h_compliance_025y,head,compliance,25.0,35.27406010022962,4.0,head_compliance
h_compliance_050y,head,compliance,50.0,44.04117533720006,4.0,head_compliance
h_compliance_120y,head,compliance,120.0,44.61094043506082,4.0,head_compliance
h_receptor_005y,head,receptor,5.0,41.52340394814373,4.0,head_receptor
h_receptor_010y,head,receptor,10.0,41.10269826302683,4.0,head_receptor
h_receptor_020y,head,receptor,20.0,40.54604320186425,4.0,head_receptor
h_receptor_050y,head,receptor,50.0,41.63400300050361,4.0,head_receptor
h_receptor_120y,head,receptor,120.0,41.68809900441152,4.0,head_receptor
h_landholder_020y,head,landholder,20.0,40.40521760878788,4.0,head_landholder
h_landholder_120y,head,landholder,120.0,41.67674138908022,4.0,head_landholder
q_mineinflow_005y,budget,mine_inflow_total_m3_per_d,5.0,12584.931067109112,0.0005,budget_mineinflow
q_mineinflow_010y,budget,mine_inflow_total_m3_per_d,10.0,32337.355241021563,0.0003092398845071441,budget_mineinflow
q_mineinflow_015y,budget,mine_inflow_total_m3_per_d,15.0,41087.60708226951,0.00024338238973072948,budget_mineinflow
q_mineinflow_020y,budget,mine_inflow_total_m3_per_d,20.0,37280.340952864295,0.0002682378901159617,budget_mineinflow
fcst_max_receptor_dd,forecast,fcst_max_receptor_dd,,1.1469839293729578,0.0,forecast_receptor
fcst_max_compliance_dd,forecast,fcst_max_compliance_dd,,21.698939754975797,0.0,forecast_compliance
fcst_recovery_years,forecast,fcst_recovery_years,,26.0,0.0,forecast_recovery
fcst_stage4_mean_inflow,forecast,fcst_stage4_mean_inflow,,37950.79280799332,0.0,forecast_inflow
