parnme,group_name,x_m,y_m,parval1,parlbnd,parubnd,sigma,corr_len_m
pp_upper_001,PP_UPPER,1200.0,1200.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_002,PP_UPPER,3600.0,1200.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_003,PP_UPPER,6000.0,1200.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_004,PP_UPPER,8400.0,1200.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_005,PP_UPPER,10800.0,1200.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_006,PP_UPPER,1200.0,3600.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_007,PP_UPPER,3600.0,3600.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_008,PP_UPPER,6000.0,3600.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_009,PP_UPPER,8400.0,3600.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_010,PP_UPPER,10800.0,3600.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_011,PP_UPPER,1200.0,6000.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_012,PP_UPPER,3600.0,6000.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_013,PP_UPPER,6000.0,6000.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_014,PP_UPPER,8400.0,6000.0,0.0,-1.0,1.0,0.35,2200.0
pp_upper_015,PP_UPPER,10800.0,6000.0,0.0,-1.0,1.0,0.35,2200.0
pp_main_001,PP_MAIN,800.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_002,PP_MAIN,2400.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_003,PP_MAIN,4000.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_004,PP_MAIN,5600.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_005,PP_MAIN,7200.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_006,PP_MAIN,8800.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_007,PP_MAIN,10400.0,800.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_008,PP_MAIN,800.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_009,PP_MAIN,2400.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_010,PP_MAIN,4000.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_011,PP_MAIN,5600.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_012,PP_MAIN,7200.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_013,PP_MAIN,8800.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_014,PP_MAIN,10400.0,2400.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_015,PP_MAIN,800.0,4000.0,0.0,-1.2,1.2,0.45,1800.0
pp_main_016,PP_MAIN,2400.0,4000.0,0.0,-1.2,1.2,0.45,1800.0
