realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
real_0035,21.726872043194216,1.288058550514151,27.0,37521.3456714347
real_0029,21.804546447796017,1.2279774684944442,27.0,35994.28006340192
real_0032,21.629360740535365,1.0879006513930065,26.0,37614.53445897711
real_0089,21.717432110602573,1.0733759382517434,26.0,38036.986884034384
real_0028,21.80108385009654,0.8808588910360271,29.0,38818.32051660812
real_0068,21.52273951975834,1.0981100989990367,27.0,37281.38531087666
real_0069,21.822929391271877,1.1457235377179344,27.0,37184.01630728899
real_0099,21.66503709236403,1.1808873001970142,26.0,39111.08143807486
real_0011,21.681913244937913,1.1087571444673685,27.0,37577.08369729239
real_0012,21.33818443052878,1.0803710692912531,25.0,36285.46148014981
real_0075,21.713921664271382,1.1782433326239925,26.0,37825.9496579244
real_0002,21.65020457186029,1.1129790756802436,26.0,37648.80162950852
real_0004,21.851721037859576,1.1388114416931074,29.0,37460.72479850253
real_0006,21.84496716338905,1.1563231745067668,27.0,39016.270689914105
real_0008,21.570311673042486,1.131125410734704,27.0,36317.15986993585
real_0009,21.42885474468581,1.1915959257485724,26.0,37397.262728907444
real_0010,21.775087500886396,1.230472987592563,28.0,37993.998084973064
real_0018,21.6973381518465,1.1044476491972262,26.0,37899.78193209825
real_0019,21.750084179417357,1.2374130859712622,27.0,37751.721652125765
real_0020,21.6074393079983,0.9641169472787254,26.0,39028.45358463744
real_0021,21.660859882387,1.1947462409556238,26.0,37044.8167276534
real_0022,21.496628425824227,1.1718844729945914,26.0,38093.57109792925
real_0023,21.453854599077353,1.1651122792149735,27.0,38213.70033329902
real_0026,21.762858629925375,1.1131432326843083,27.0,37346.07684341601
real_0030,21.710800438484796,1.3128771630504374,27.0,37454.9705727315
real_0031,21.519421568953714,1.1767358273227515,28.0,35881.16711518718
real_0034,21.66351865141058,1.1383722881845344,25.0,37397.277328018026
real_0036,21.60112985955853,1.103206499291538,26.0,39358.699384022206
real_0038,21.6508030930073,1.1264428374509379,25.0,37952.91415999772
real_0039,21.915573817877117,1.1185811677029704,28.0,37092.843530214435
real_0040,21.56395833319855,1.1236098900945635,26.0,37579.989793710876
real_0044,21.63534790914771,1.1871955804788428,25.0,38169.45491168324
real_0046,21.72976561974147,1.1582962125259897,26.0,37652.10542673699
real_0047,21.47190426713709,1.1042661900027895,29.0,37839.282332148505
real_0049,21.790962673418644,1.292000614081111,28.0,37744.47495673619
real_0054,21.620000535650334,1.1192549278840644,25.0,37628.55970017292
real_0057,21.782756145422024,0.7963642995939324,27.0,35235.26862111355
real_0060,21.76150920544242,1.122460558606761,26.0,38261.553043633365
real_0061,21.84588393016627,1.2692820548193993,28.0,36472.63176692246
real_0062,21.743729979891107,1.2011123107768213,28.0,37383.857000721284
real_0063,21.64224054049108,1.1271786130574313,26.0,38392.995811883135
real_0064,21.620093327543337,1.2151723981135802,28.0,36655.65825345495
real_0065,21.75374856028504,1.0188048897337012,26.0,38025.73600880926
real_0066,21.689532413871444,1.136065543108046,26.0,37054.54353069575
real_0067,21.671457156502505,1.142306426308373,26.0,37774.33263413901
real_0070,21.76362560861786,1.1698890170249001,25.0,37712.50575811214
real_0074,21.79084042877464,1.1982070396895352,27.0,38529.558745045346
real_0076,21.697996145314583,1.0834316293860766,27.0,38013.28909951074
real_0079,21.735480433381227,1.1885021023818112,28.0,37639.60625219888
real_0080,21.693915931048867,1.2503798002036035,26.0,37575.45329585911
real_0083,21.63301342611007,1.0302503865196257,27.0,37568.62340151252
real_0084,21.534018956452208,0.9933133370228333,25.0,38228.576892505356
real_0086,21.621422812433725,1.1533332178463311,27.0,37743.75161567472
real_0088,21.596116398882838,0.9708295945637744,27.0,37858.346933847526
real_0090,21.784978575836114,1.1764800472959394,28.0,38155.89598023844
real_0091,21.80539825656202,1.1703475830612788,27.0,37860.58776915977
real_0095,21.73413237969004,1.1805568165835894,27.0,38237.06492299533
real_0096,21.831832236160377,1.0871784467591183,26.0,37208.43514896689
