,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0021,29.08435679969825,1.5867087877107977,25.0,50305.31340019521,39.622739294930206,28.23560102264078,18.445209196221757,15.316806509787794,35.27184192291372,43.75951560751275,44.198375790479254,40.25064546428894,41.62789260906145,41.452979187672014,40.86111441161353,40.0987251454699,41.629342033434924,41.676347529238896,13446.834912234499,36857.92103459922,48762.28667517683,48289.843659782506
real_0067,28.8206798162417,1.686549079698274,25.0,53099.508922263645,39.44888081927103,28.175681962862456,18.595689407876275,15.493302578038202,35.385382189165995,43.66351575966402,44.08757897577821,40.1338137176027,41.60171713836509,41.42278270491388,40.811022774932795,39.98470933687729,41.61681015756177,41.660441362340634,14808.313602452023,39636.48913205837,51887.41847603615,51011.615059158314
real_0099,28.774696966631456,1.7149059273195846,24.0,53820.07146532326,39.486121431772574,28.177857122969375,18.593785320317036,15.525057409069408,35.60517524825623,43.75638147997164,44.09562338497393,40.069787137272094,41.64225359267346,41.43982088604123,40.79740717747282,39.981719345795376,41.64814329105799,41.68704790551033,14670.577058256342,39604.34261753905,52068.152113749195,51774.41559250749
real_0068,28.66761977561564,1.6267538825851133,25.0,50476.469407878074,39.44117618626996,28.018148967264384,18.417957626090793,15.486372467137144,35.43885182676261,43.53073165833956,43.965343739332035,40.03464659320865,41.65478728228204,41.444042439913545,40.847462425414214,40.05016685973048,41.62094418490299,41.66781444766809,13133.29114394289,36732.120799776734,48981.55240629356,48370.442576930305
real_0074,28.796161939602158,1.7004990787837855,25.0,52998.093306837094,39.52062492520159,28.211878406626436,18.57342178612892,15.478674114408932,35.51804078729636,43.65811853197055,44.062440608630446,40.20972381975287,41.58130820638874,41.41919150599887,40.80321934648082,39.96686334154702,41.61633907432681,41.65672445772917,14111.099989770652,38754.86485285654,51475.965924730626,50848.60187271706
real_0019,28.78002141237426,1.7404084612683803,25.0,52584.44813350601,39.65560780398751,28.19473654305885,18.46293652626069,15.438644734872234,35.53059235799769,43.62089676395535,44.04689086275119,40.11133506256723,41.66362201590809,41.459325761657105,40.80851977521507,39.9654906415874,41.64915573553464,41.6974122498395,13333.830828460135,38254.75915325105,51109.05598366239,50551.07667001993
real_0002,28.634809211275414,1.6889511112913738,23.0,53070.975148232326,39.61778662091543,28.185367916327984,18.45701761373818,15.535452602614487,35.580616009649795,43.673503175915336,44.0345924137833,40.18456789223977,41.56963200774322,41.420903324717315,40.80352594811582,39.97027356568641,41.618952919373776,41.65291214374933,13668.405470304515,39157.40467852546,52089.51337898901,50998.78708779955
real_0006,28.64140140195442,1.6273462259585258,25.0,53714.830967000475,39.496613792718954,28.078719466922987,18.491479063050654,15.514765615072283,35.456624851538216,43.5343998808272,43.97608472874288,40.166441158098614,41.60867043455188,41.42610471923533,40.81002588107743,40.03954375751783,41.61409024586474,41.65829550875608,13924.358624488788,39145.66314432096,51965.54921663912,51469.75641017543
real_0009,28.9068435711214,1.8400306139408187,25.0,51502.82949385494,39.60142676287078,28.134139975816375,18.426706026436822,15.531529738482108,35.41410975778525,43.791545176605624,44.25010348274726,40.12757121042933,41.634919461192,41.4347158079925,40.751780261709925,39.870681886075005,41.65012572785439,41.70002083015233,13803.852347299251,37896.13441010058,50423.375071489085,49556.70525748457
real_0014,28.78311869388613,1.70404863213313,24.0,51723.338536148614,39.44220892019991,28.079905653136514,18.4504207218354,15.500395623437713,35.51619897699281,43.7038497598002,44.073612985151655,40.19143784939474,41.61356928999644,41.43044652487516,40.78278722483977,39.98836816534606,41.64010043898551,41.68137463181839,13992.180420726192,38088.56978762933,50394.60777877144,49874.56104610906
real_0017,28.885883825109584,1.6754773978556514,27.0,50552.93966381046,39.42538219799826,28.107293700198678,18.525768730907583,15.367899064447062,35.46394087665108,43.52113583965704,44.01873913545777,40.25299539470204,41.55311954375021,41.398130178087364,40.76330724300217,39.9828779021001,41.59484194418941,41.64593433564476,13643.724307266019,36946.39889065847,48814.61758523011,48471.78408286619
real_0018,28.65548893001807,1.6453450716848508,23.0,52931.287074296386,39.56824515683736,28.100456402902097,18.503917495838824,15.563053949291533,35.61601831233727,43.707375551694,44.045141723663995,40.04080752936055,41.64942010914458,41.446176344947716,40.83565468820394,40.03651140503233,41.638513281532916,41.673684735631,13671.194921869705,38501.643263933605,51232.80886271867,50805.746847458155
real_0026,28.807643510461077,1.6788726345964307,26.0,50336.312754793165,39.58643851707713,28.233582929838406,18.533036916383693,15.366232119035837,35.688110940557735,43.508777697984584,43.969945022293736,40.12439499842633,41.63025959010697,41.45284403932537,40.86694420299796,39.99846728399029,41.620340650842095,41.66770361397035,12754.2582642897,36312.18865194685,48535.12995665785,48234.341214862594
real_0029,28.950094534786892,1.7790570268710368,26.0,48546.336159167346,39.6097808951919,28.242619149429412,18.391871174159157,15.27004242469844,35.30562069882226,43.56695265432285,44.04817764848453,40.0728469316003,41.640005676263996,41.45827278969008,40.85365933697672,39.910928296098064,41.632665322566034,41.68161569911529,12294.653055363558,35039.70688473056,46926.7224267259,46388.95324555253
