iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
0,56,base,base,0,0,0,0,4.75899e-18,1.97033e-18,2.59107e-18,1.77493e-20
0,56,real_0001,real_0001,0,0,0,0,506.536,4.59637,10.3658,0.0494319
0,56,real_0002,real_0002,0,0,0,0,288.316,1.25279,4.38984,15.126
0,56,real_0003,real_0003,0,0,0,0,239.047,6.56164,18.2621,93.4027
0,56,real_0006,real_0006,0,0,0,0,8161.26,157.127,242.707,32.3792
0,56,real_0008,real_0008,0,0,0,0,3393.65,11.6549,16.8251,90.8501
0,56,real_0009,real_0009,0,0,0,0,3194.64,10.9418,8.78071,16.7159
0,56,real_0010,real_0010,0,0,0,0,4319.96,15.4055,24.6695,103.907
0,56,real_0011,real_0011,0,0,0,0,125.492,3.40591,3.68494,4.16368
0,56,real_0012,real_0012,0,0,0,0,427.545,4.59607,1.20197,46.5216
0,56,real_0014,real_0014,0,0,0,0,2369.24,8.7113,23.7165,57.1691
0,56,real_0015,real_0015,0,0,0,0,588.216,13.4438,20.2078,14.3942
0,56,real_0017,real_0017,0,0,0,0,170.079,121.638,286.675,26.1782
0,56,real_0018,real_0018,0,0,0,0,368.848,12.7088,15.1614,22.5985
0,56,real_0019,real_0019,0,0,0,0,199.209,3.7297,5.24177,1.47581
0,56,real_0020,real_0020,0,0,0,0,1346.23,9.77626,12.7253,0.648209
0,56,real_0021,real_0021,0,0,0,0,309.039,3.17402,6.04419,87.6416
0,56,real_0026,real_0026,0,0,0,0,1239.99,3.94159,7.33555,3.39825
0,56,real_0029,real_0029,0,0,0,0,60.4833,0.93797,0.751641,37.9756
0,56,real_0034,real_0034,0,0,0,0,1644.43,0.0816231,0.544242,11.8994
0,56,real_0035,real_0035,0,0,0,0,812.627,29.7358,73.983,17.1972
0,56,real_0036,real_0036,0,0,0,0,894.021,8.33651,23.4886,11.2698
0,56,real_0038,real_0038,0,0,0,0,38.2753,1.14001,2.76987,7.21391
0,56,real_0040,real_0040,0,0,0,0,209.446,1.25698,0.956664,0.620982
0,56,real_0042,real_0042,0,0,0,0,351.995,54.7975,113.491,615.043
0,56,real_0044,real_0044,0,0,0,0,714.078,60.9419,115.336,5.17549
0,56,real_0045,real_0045,0,0,0,0,833.077,21.7986,37.0047,53.8067
0,56,real_0046,real_0046,0,0,0,0,146.424,2.81311,2.0216,1.4585
0,56,real_0047,real_0047,0,0,0,0,2402.69,0.0132033,0.0483517,1.02903
0,56,real_0052,real_0052,0,0,0,0,1086.53,2.54958,7.43653,100.226
0,56,real_0054,real_0054,0,0,0,0,62.9961,1.94374,5.3786,6.5321
0,56,real_0057,real_0057,0,0,0,0,2116.1,380.768,901.659,360.24
0,56,real_0058,real_0058,0,0,0,0,2600.81,361.775,295.489,305.729
0,56,real_0060,real_0060,0,0,0,0,394.568,0.138093,0.224417,66.8581
0,56,real_0062,real_0062,0,0,0,0,829.16,0.605095,3.71497,16.9706
0,56,real_0063,real_0063,0,0,0,0,101.903,8.09848,13.7191,10.0939
0,56,real_0064,real_0064,0,0,0,0,585.223,1.28928,7.63271,1.38478
0,56,real_0065,real_0065,0,0,0,0,182.651,12.6831,30.6175,112.532
0,56,real_0066,real_0066,0,0,0,0,599.254,2.1105,2.25267,3.06267
0,56,real_0067,real_0067,0,0,0,0,702.959,14.5341,25.2595,130.064
0,56,real_0068,real_0068,0,0,0,0,2840.4,2.38136,5.19814,37.8419
0,56,real_0069,real_0069,0,0,0,0,321.415,480.951,1002.84,439.344
0,56,real_0070,real_0070,0,0,0,0,1900.25,2.12175,5.1272,7.43699
0,56,real_0071,real_0071,0,0,0,0,2937.01,41.7926,110.223,5.19328
0,56,real_0072,real_0072,0,0,0,0,4895.52,26.4588,68.4777,1.64354
0,56,real_0073,real_0073,0,0,0,0,1351.63,42.5799,95.8169,4.07129
0,56,real_0074,real_0074,0,0,0,0,395.398,173.595,397.922,120.237
0,56,real_0075,real_0075,0,0,0,0,149.785,32.897,64.991,17.3821
0,56,real_0076,real_0076,0,0,0,0,106.891,2.06408,3.89343,6.08974
0,56,real_0084,real_0084,0,0,0,0,973.466,1.34551,4.18128,1.81544
0,56,real_0086,real_0086,0,0,0,0,875.648,6.40932,11.3743,52.4358
0,56,real_0090,real_0090,0,0,0,0,133.493,4.37113,14.209,4.15736
