iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,10,1558.52,2082.79,0.75,1,156.112,285.503
1,5,10,1558.52,2082.79,1,1,22.203,38.1722
1,4,10,1558.52,2082.79,1.1,1,10.9423,16.1069
1,3,10,1558.52,2082.79,0.75,10,78.9881,110.351
1,3,10,1558.52,2082.79,1,10,7.7192,6.79058
1,3,10,1558.52,2082.79,1.1,10,9.72077,12.0275
1,5,10,1558.52,2082.79,0.75,100,287.663,424.571
1,4,10,1558.52,2082.79,1,100,32.6781,32.5043
1,4,10,1558.52,2082.79,1.1,100,21.4086,15.974
2,3,7.5,64.2958,106.135,0.75,0.75,3.13244,4.38114
2,3,7.5,64.2958,106.135,1,0.75,2.44213,2.44679
2,3,7.5,64.2958,106.135,1.1,0.75,3.29328,2.98784
2,4,7.5,64.2958,106.135,0.75,7.5,10.7607,10.6804
2,4,7.5,64.2958,106.135,1,7.5,5.72646,5.84202
2,4,7.5,64.2958,106.135,1.1,7.5,6.55341,6.13001
2,4,7.5,64.2958,106.135,0.75,75,42.8407,54.8676
2,4,7.5,64.2958,106.135,1,75,33.4924,40.7121
2,4,7.5,64.2958,106.135,1.1,75,30.1617,35.7436
3,4,0.5625,6.75542,11.8248,0.75,0.05625,1.86282,1.64847
3,4,0.5625,6.75542,11.8248,1,0.05625,1.5469,1.4666
3,4,0.5625,6.75542,11.8248,1.1,0.05625,1.43825,1.40312
3,4,0.5625,6.75542,11.8248,0.75,0.5625,2.07478,1.79767
3,4,0.5625,6.75542,11.8248,1,0.5625,1.79309,1.63401
3,4,0.5625,6.75542,11.8248,1.1,0.5625,1.69305,1.57384
3,4,0.5625,6.75542,11.8248,0.75,5.625,2.71603,2.22215
3,4,0.5625,6.75542,11.8248,1,5.625,2.5801,2.15548
3,4,0.5625,6.75542,11.8248,1.1,5.625,2.52834,2.13033
