obsnme,kind,series_name,time_years_total,obsval,weight,obgnme
h_compliance_005y,head,compliance,5.0,39.54830844192301,4.0,head_compliance
h_compliance_010y,head,compliance,10.0,28.16605471826958,4.0,head_compliance
h_compliance_015y,head,compliance,15.0,18.511580364966257,4.0,head_compliance
h_compliance_020y,head,compliance,20.0,15.467096313910233,4.0,head_compliance
h_compliance_025y,head,compliance,25.0,35.59707995597291,4.0,head_compliance
h_compliance_050y,head,compliance,50.0,43.702793072280485,4.0,head_compliance
h_compliance_120y,head,compliance,120.0,44.102051036639125,4.0,head_compliance
h_receptor_005y,head,receptor,5.0,41.442200536772695,4.0,head_receptor
h_receptor_010y,head,receptor,10.0,40.81085839931821,4.0,head_receptor
h_receptor_020y,head,receptor,20.0,40.00625602205516,4.0,head_receptor
h_receptor_050y,head,receptor,50.0,41.63941664705498,4.0,head_receptor
h_receptor_120y,head,receptor,120.0,41.682309304945655,4.0,head_receptor
h_landholder_020y,head,landholder,20.0,40.14595301083296,4.0,head_landholder
h_landholder_120y,head,landholder,120.0,41.63249127430861,4.0,head_landholder
q_mineinflow_005y,budget,mine_inflow_total_m3_per_d,5.0,13767.516973025482,0.0005,budget_mineinflow
q_mineinflow_010y,budget,mine_inflow_total_m3_per_d,10.0,38148.01449561551,0.0002621368407299241,budget_mineinflow
q_mineinflow_015y,budget,mine_inflow_total_m3_per_d,15.0,50765.81503126664,0.0001969829499209459,budget_mineinflow
q_mineinflow_020y,budget,mine_inflow_total_m3_per_d,20.0,50352.65276865593,0.00019859926836317368,budget_mineinflow
fcst_max_receptor_dd,forecast,fcst_max_receptor_dd,,1.685586221665936,0.0,forecast_receptor
fcst_max_compliance_dd,forecast,fcst_max_compliance_dd,,28.826388526605392,0.0,forecast_compliance
fcst_recovery_years,forecast,fcst_recovery_years,,25.0,0.0,forecast_recovery
fcst_stage4_mean_inflow,forecast,fcst_stage4_mean_inflow,,52395.81853507955,0.0,forecast_inflow
