realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
real_0021,29.08435679969825,1.5867087877107977,25.0,50305.31340019521
real_0067,28.8206798162417,1.686549079698274,25.0,53099.508922263645
real_0099,28.774696966631456,1.7149059273195846,24.0,53820.07146532326
real_0068,28.66761977561564,1.6267538825851133,25.0,50476.469407878074
real_0074,28.796161939602158,1.7004990787837855,25.0,52998.093306837094
real_0019,28.78002141237426,1.7404084612683803,25.0,52584.44813350601
real_0002,28.634809211275414,1.6889511112913738,23.0,53070.975148232326
real_0006,28.64140140195442,1.6273462259585258,25.0,53714.830967000475
real_0009,28.9068435711214,1.8400306139408187,25.0,51502.82949385494
real_0014,28.78311869388613,1.70404863213313,24.0,51723.338536148614
real_0017,28.885883825109584,1.6754773978556514,27.0,50552.93966381046
real_0018,28.65548893001807,1.6453450716848508,23.0,52931.287074296386
real_0026,28.807643510461077,1.6788726345964307,26.0,50336.312754793165
real_0029,28.950094534786892,1.7790570268710368,26.0,48546.336159167346
real_0034,28.868996705244797,1.6810376759705363,24.0,50851.661253880746
real_0035,28.75049288636835,1.7972770767948916,24.0,51037.16469111497
real_0036,28.499689919758815,1.4275960116223345,24.0,54263.16648565184
real_0038,28.801132763632147,1.6089434104682283,23.0,51987.80643554086
real_0040,28.755649081181424,1.6368969669871944,25.0,50778.0443850162
real_0044,28.943149843135025,1.6834073299742514,23.0,52243.64723874392
real_0046,28.78133207316673,1.589625366089905,24.0,52150.80762474852
real_0054,28.775532433600766,1.4963337959063736,23.0,52956.55989826956
real_0057,28.398456117132724,1.3550982623837555,25.0,49540.80059782608
real_0058,28.98442744091613,1.711789758513703,28.0,51436.36272428201
real_0063,28.766349875986897,1.7184545720071398,24.0,54071.55152378768
real_0064,27.963985958601725,1.8510750929124313,26.0,50888.816780733236
real_0065,28.846176630776984,1.5955667784443932,25.0,52332.45375463706
real_0066,28.709559093090213,1.6778406847536829,24.0,51666.82379442374
real_0069,28.88776712589786,1.7243501673521564,25.0,52142.486395212065
real_0070,28.984859439698816,1.6812766705320357,25.0,51087.07964609019
real_0071,28.597989194627168,1.7615994184425006,25.0,50970.3557475547
real_0075,28.949429538613074,1.6991442440155353,23.0,53570.2771486111
real_0076,28.81335917277391,1.55740243316162,25.0,52814.8275528322
real_0084,28.82354830919259,1.472076824554378,24.0,51542.363880159755
real_0086,28.95637035744062,1.5369057040885536,26.0,51670.4043713621
real_0094,28.88141211735396,1.514942608353003,25.0,51080.43673879944
real_0095,28.651049596149555,1.7472725918822931,24.0,54095.98314692753
real_0096,28.936558477783613,1.5631640353770138,25.0,50726.36155260878
