parnme,n_realizations,mean,std,min,p05,p50,p95,max
backfill_mult,38,1.0039665502860509,0.1888534473498006,0.49178719265229937,0.7454790821937293,1.0125111724089586,1.312330150374137,1.448789059700906
channel_mult,38,1.0167814749589519,0.14194173468378019,0.7317576228746128,0.8039905435745497,1.002157130822419,1.2349565255671093,1.3129173607808857
ghbcond_mult,38,1.0157294566864965,0.12675593980793995,0.7040674025138463,0.835516696697024,1.0163051174711013,1.170585616595732,1.3744781286684955
pp_lower_001,38,0.04720549706122331,0.2888774796969607,-0.5790903135560509,-0.3692411513773083,0.05359217036123819,0.4354441665165945,0.7274807825107753
pp_lower_002,38,0.0783642180870186,0.26340672725403647,-0.42984720723081793,-0.41172136026666917,0.10300038440822967,0.43894578599131434,0.5972535619718436
pp_lower_003,38,0.030117686929041727,0.2727417265818237,-0.62594937983514,-0.3613367883316117,0.052857897960290376,0.45363901710440857,0.6591590524556575
pp_lower_004,38,0.01377737004262491,0.23938913595935027,-0.4655443684479042,-0.4005945545780339,0.01646161303992609,0.42643960781952245,0.4343201371155653
pp_lower_005,38,-0.07750232045264605,0.30407286042143067,-0.6252796805873287,-0.5443214054956033,-0.06642908819644315,0.3977927763528634,0.6761251294385406
pp_lower_006,38,0.05107218247524854,0.2663561558646047,-0.500440347141914,-0.4019366814224321,0.06334581197485231,0.49816911830764726,0.6023594669395745
pp_lower_007,38,0.030824450984145733,0.2610581073328639,-0.3741500181213942,-0.26962024017831476,-0.0145992961258247,0.520330199309331,0.7441912645196824
pp_lower_008,38,-0.02438630289008493,0.1420039797667792,-0.28959308570176845,-0.27088330276562045,-0.03432993482985186,0.2110295647178622,0.30326163049048904
pp_lower_009,38,-0.06868859891749478,0.28719693553481385,-0.6355959925732966,-0.462961204208877,-0.08419964638570182,0.4949364086278527,0.707321598080556
pp_lower_010,38,-0.15311590808685793,0.28676029019771526,-0.7212304649768906,-0.5490240143488074,-0.1714721948110802,0.24390163518677338,0.26475898678866616
pp_lower_011,38,0.010780592929241979,0.29452556720468254,-0.4740033757004267,-0.43495023063079846,-0.024432851095924895,0.5404816306423791,0.6400662404601561
pp_lower_012,38,0.00472032326395204,0.2947417507344988,-0.7724207294306985,-0.4086197981086798,0.056935886419807465,0.44523795788813314,0.5239588815533054
pp_lower_013,38,-0.053507907838204125,0.26443264918742776,-0.8315996787882249,-0.41075396926079055,-0.0027852801704294572,0.31361642545634616,0.43813428266271237
pp_lower_014,38,-0.030816452923842507,0.2863202803877628,-0.8430063533969114,-0.461282841227688,0.022410279399764324,0.3859633633211369,0.507166815138102
pp_lower_015,38,-0.09196195285447771,0.2706383113674303,-0.6329362797830556,-0.5416433331025857,-0.09869207488777262,0.2538203102657523,0.5160852913787934
pp_main_001,38,0.00010617698423340698,0.3222319551541637,-0.7430402255135281,-0.46875658273636694,0.0037764099154368154,0.3803449656224977,0.9635835129144315
pp_main_002,38,0.07412519961937249,0.3989815874561819,-1.0036303960086665,-0.5453868664403033,0.07849060159262941,0.6514998467630051,0.8067678989162063
pp_main_003,38,-0.04349196835573041,0.2783816335841785,-0.8274058222044899,-0.45459731537226783,-0.0314101352401555,0.31127471345930025,0.583884784067463
pp_main_004,38,-0.14632625859666568,0.2965369181325931,-0.7951679256706337,-0.624208510463865,-0.1857364818718846,0.397161482503319,0.5017024116028572
pp_main_005,38,0.044123878340557976,0.34532972098601233,-0.9468198498733388,-0.46256294555246047,0.044308220202198656,0.4553531946503642,0.8515420879101411
pp_main_006,38,-0.0011833944995201153,0.29029860507565397,-0.8131093868055953,-0.40753585567019784,0.028312983981876226,0.4313315157178744,0.7016115867383217
pp_main_007,38,0.0834567508571159,0.3177303981497238,-0.4106229889938706,-0.3527320987469534,0.040707673867481566,0.635582358565282,0.7253323227549028
pp_main_008,38,-0.08186867936639199,0.34006881007498824,-0.7524730937018077,-0.6554968926755447,-0.056992924624138463,0.3709786422777755,0.6955433486186688
pp_main_009,38,-0.036506883443873005,0.25489223259945837,-0.4326540696568483,-0.3994341995197906,-0.06330415779193149,0.4074254031128202,0.7159476685269273
pp_main_010,38,-0.11401546535924624,0.2632739562778334,-0.5815066245527466,-0.4446570955291728,-0.16757440019090789,0.3101677770349358,0.6782801505038326
pp_main_011,38,-0.02345706685263102,0.29203570440097265,-0.5602348721341145,-0.4713570696656329,-0.03614976240407833,0.5376320917935705,0.6555756280722176
pp_main_012,38,-0.10694285831850556,0.29509990817454,-0.6913822057015548,-0.6108310147196561,-0.1304534943424862,0.40881926642104144,0.4879381980293726
pp_main_013,38,0.0400357256349702,0.2631185780439316,-0.6123649015535955,-0.46712020450452624,0.07408574619924449,0.4226750968185253,0.45097214545829867
pp_main_014,38,-0.08111412815603829,0.39083648949390437,-1.077181802457765,-0.6832029770855935,-0.06945341086178075,0.5333302192958179,0.6649910156670171
pp_main_015,38,-0.21169290256799722,0.225090958468784,-0.7619596026681764,-0.5171801172640234,-0.23204774905234812,0.2188780504431668,0.35341185160338506
pp_main_016,38,0.017708207944971813,0.2607672743922053,-0.5980713526758716,-0.35219978021268206,0.006417829031042056,0.4648805541781829,0.5463524805509392
pp_main_017,38,-0.012968157881298244,0.17915082653538564,-0.29494383222008186,-0.25642756310855025,-0.035501258830727994,0.29674666060481414,0.33462166714834596
pp_main_018,38,-0.012399924641608431,0.10360531780759102,-0.23367168793544502,-0.17490936788193087,-3.726658478369997e-05,0.1426007916002763,0.17890716130210021
pp_main_019,38,-0.03796799469991069,0.1535202106396469,-0.3773664258318856,-0.278376153122017,0.009806691625520825,0.19008732572671697,0.2199267303604644
pp_main_020,38,0.05267165800847384,0.24416284891725168,-0.3528130388678845,-0.3354290812500919,0.02494514499596052,0.49857560539556917,0.5052514439533337
pp_main_021,38,0.03806812775843035,0.27445725717778796,-0.5999076472372604,-0.45271209792797956,0.04601845854264291,0.3928805980315333,0.6449917889483133
