,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0013,27.616980829162188,2.3435375079239975,36.0,36610.23079337197,40.615028817499045,29.35952851545914,20.17940044031164,18.16243812850196,31.66431747551014,44.28202063030131,45.64830878764067,39.57487405493308,41.801863295372684,41.58981268981847,40.79220628611539,39.551072156250314,41.69013500491794,41.88498078095771,12832.932766587008,31191.0622716027,38758.52924770702,35521.47714352267
real_0015,28.065318020331212,2.2085525163154855,36.0,33851.71238482724,40.60134186771833,29.16486163072015,19.790026157902584,17.861414013584863,32.034115547088454,44.46390643857902,45.73327270536425,39.6963008876351,41.85389901814699,41.62571049989505,40.89101314327264,39.70196794580813,41.70820045760644,41.89607916382105,11837.525172500884,28773.341281596342,35999.290915269274,33013.694426886694
real_0026,27.106672387701106,1.8240829769313152,35.0,32914.34089472388,40.69184567510152,29.595128593417787,20.49832458210135,18.548167898679036,32.33662184190825,44.21165231136193,45.490583804062844,40.00094424517331,41.801021449122786,41.6112594389993,41.01750842975543,40.01335592020239,41.666176642843276,41.82723358609498,10797.270844293567,27086.639539528234,34439.71505595953,31894.52394881259
real_0029,27.853385699918643,2.037216036100581,39.0,30917.842775292065,40.71684290238702,29.318594989599376,19.811403666875105,18.0032577225188,31.50273802938806,44.04402635872034,45.72507801490204,39.88453878199907,41.85106078100488,41.6514176706196,40.99793143435642,39.86006551665268,41.67527816631173,41.888324350990274,10500.549510071705,26360.518968148557,33289.83791797893,29979.56551056389
real_0069,28.12170478996319,1.596681428667658,37.0,34366.27513968281,40.67105842666294,29.282608682353274,19.918105451155164,17.93084631885168,31.61718778888797,44.41869665284457,45.88086515676845,40.037845189332444,41.820078213233046,41.62001433462623,41.08452000748721,40.234697963709934,41.65555157138291,41.817472791749,12297.92986188677,29491.837693619193,36615.30433007452,33370.87771441274
real_0079,27.91623835399195,2.4294161857563523,36.0,35796.54863621091,40.53696823284119,29.064732747274864,19.682403066572768,18.12344365881875,32.15183982113082,44.53665235817853,45.872231195787045,39.55978185427242,41.964213721622286,41.645545467415936,40.84124549108882,39.5469423261515,41.75929411534284,41.962539689377245,12845.407907573255,31030.228766303942,38856.09187319043,34970.50104023881
real_0001,27.07433549355626,1.6326641458239806,35.0,33921.59579395598,40.78491251643204,29.5903428921151,20.417862572073005,18.965381889042963,32.66496203037225,44.660681821496006,45.880878165742224,40.03772778724474,41.7021474044465,41.55227960222008,40.97337407925739,40.14759602068809,41.63741185958406,41.77107061106556,12323.122893567706,29715.503485129568,37230.63722610008,33199.588233587616
real_0002,27.039734083111323,1.9137079981068652,33.0,34799.88199577019,40.76430390981346,29.480394528589787,20.17367575649747,18.744313718543648,32.29678690344131,44.53899123727489,45.70278949922646,39.91278256336529,41.70914344513831,41.55377996633266,40.90246085260166,39.89465474325342,41.67234018964713,41.80372941403169,12562.182860704175,31446.246750571234,38965.45337439338,33969.35540500423
real_0003,28.683222782332468,1.5280415760718782,39.0,36152.84348774159,40.218298294086956,28.37648352958617,18.86602495669986,17.2741634628664,31.157701413753273,44.184080152884235,45.763634257109,40.07541810348127,41.76836522301523,41.56153551646263,41.030887131192976,40.24758887367238,41.600971522006986,41.763996027934475,13754.973163232655,32214.809506352824,39420.162338286966,35203.72851047453
real_0006,27.04906476215629,2.230589499344859,31.0,39617.303753957895,40.84753648927848,29.82294001572365,20.70199970384304,18.862793373667415,33.12220136283811,44.869490553969754,45.792825556244125,39.69003086688198,41.84038728611578,41.585906276000216,40.80851174434877,39.66355286036158,41.753208597256894,41.88573930875441,13329.026682486192,33289.13563601768,42126.30257283731,38568.780953472175
real_0007,26.574970711782683,1.8734905336397958,34.0,35276.58872026056,40.76536361395846,29.969919847785867,21.000581202697738,19.149739633538488,32.07766806362773,44.34367293938859,45.607472253255466,39.878569640657595,41.838158016021254,41.62065231627764,40.98261986470616,39.993313051617456,41.69573452547059,41.8596843035336,12490.731990919026,30522.581012976887,37973.585011907235,34267.03161750377
real_0008,26.587879883582374,1.5053655663621086,37.0,32132.758357275023,40.75073443244261,29.78122188225956,21.00646316819677,19.56239089850081,32.71325478656946,44.591982701886586,45.92753644280771,40.396681680116586,41.772108985203474,41.63881388072184,41.13885846170028,40.34289606107993,41.66619372214702,41.82788167224228,11849.703635652377,27755.689824627032,34772.29383728614,31544.935282592254
real_0009,28.211906287209228,2.8961797063169286,38.0,34025.18484384996,40.90592504829079,29.439852520090056,19.727860637032517,17.961019805728203,30.98775999131524,44.33569163784135,46.07260313989181,39.32601495118413,41.91063791523146,41.64119671790651,40.80222076405385,39.07054776852012,41.70798179844131,41.95834740567178,12822.699213379945,31220.705145275948,38402.72833855314,33132.777678165396
real_0010,28.18478412445398,1.550045329310187,45.0,32120.96906837145,40.81548251942696,29.420418177897325,20.020096298114908,18.08462942361893,30.449161619170237,43.7956739286905,46.11041468374744,40.35287383628146,41.799303170700654,41.64708247381633,41.13665589318571,40.31132702355418,41.600603856231736,41.84166593323382,12468.677266011626,29132.392656745273,35272.41061911104,31148.17134903563
real_0011,27.810430556110543,2.04055723446632,37.0,35107.291365573226,40.66555057530739,29.288118353856603,19.69019691091529,17.96163227930948,31.82419306011013,44.20255847396292,45.648815040721615,39.51734812249657,41.84306022283704,41.59807206088512,40.89510717249331,39.828009093959615,41.67014742301038,41.85966884461219,12275.608937329254,30716.16392722616,38735.222139566045,34280.33624105589
real_0012,30.506088498378908,1.4341578220009268,38.0,33990.17054363658,40.53915995569459,28.00778518715575,17.738055257040223,15.81758186635996,31.215983030087653,44.60268913026594,46.1860583779259,40.1890267122595,41.79211517885693,41.61779663278699,41.139152455745545,40.368942087046314,41.64160674734485,41.792338952661396,12046.481653610806,29374.764520127894,36457.354615180615,33009.93058974832
real_0014,27.389789335148325,1.840822626422387,36.0,34708.9773995618,40.48462623137604,29.306819288593903,20.14639355032077,18.430279086802404,31.526571858788735,44.25053927351314,45.66581901311104,40.01758713691654,41.767902971915134,41.59076494850855,40.94823138867928,40.00555955860216,41.662036444735506,41.836515548220085,12768.218922631648,30540.99630941126,37598.939175158346,33828.60217458502
real_0016,27.941492165528707,1.820869215225919,33.0,35175.347667794704,40.73586955360488,29.23920710702637,19.9019082227703,18.296159274818635,33.37574826025317,44.99977342282028,46.00012444590357,40.01418847261513,41.89202282470737,41.6873661568594,41.12044302822452,40.09336461805351,41.723740890287495,41.882090572966945,12198.795461346377,29844.74601983723,38184.675517285956,34631.270888515195
real_0017,28.77567228329679,2.303019701177469,41.0,34650.70066746701,40.444757763034765,28.748225323019938,19.19255802345967,17.104100369367817,30.685283342499147,43.844349788841285,45.70007770410789,39.693044414301504,41.75162271713761,41.53665586646891,40.70077558927201,39.57205573035464,41.60452012423333,41.86043436329852,12490.479749315406,30041.256746696567,36921.39942887026,33395.90388116223
real_0018,27.294812298353282,1.8607504025184198,33.0,35215.114726641055,40.65499268296291,29.35468624626505,20.08747769786444,18.479685445228792,32.215647584454054,44.50546343073606,45.65596878900811,39.64970498748284,41.874523657219065,41.59746452947579,40.94613531218389,39.987730123344996,41.70200217306755,41.841350304493034,12581.943112885634,31030.3970451275,38503.746316794255,34362.64887610926
real_0019,27.89501548182059,2.8206513631640107,35.0,35703.56995704921,40.74846057506765,29.233959828918476,19.68120292158589,17.904800780225525,32.015884998398924,44.36794881887952,45.68370534043677,39.37738922906107,41.910907032212776,41.64989265355968,40.852380768536385,39.12748895561659,41.74083957755819,41.93957563382499,12300.416675892557,31403.789927408518,39253.82108469916,34781.08636133557
real_0020,27.500515148693154,1.652067004832503,34.0,37129.30713499199,40.417788106476486,28.96464255750135,19.73704373724587,18.398451905180472,32.04942843916009,44.59018012199315,45.7859212186945,40.269480308575574,41.72073768345212,41.545971760512884,40.948556074594485,40.15003948370319,41.67669184479181,41.79600871544239,13882.01384628581,33091.73796355464,40550.80239012398,36181.61540008545
real_0021,27.52544429832385,1.8793045558066765,34.0,35250.18573880959,40.7265569381033,29.40209641907148,20.10704525334793,18.41088528921176,32.40906610562012,44.65169592662486,45.80001819650787,40.038618826081375,41.80465718591863,41.61759256443072,41.01191833998616,39.97794545289974,41.68561748763149,41.8377226304209,12319.959671187069,30418.782438566363,38118.682236228,34463.77869269959
real_0022,27.34399233255518,2.2388570369056424,35.0,36411.3747474462,40.59071565399214,29.346230005727932,20.02237763911177,18.468641203273677,31.93775642858912,44.383397107195975,45.69134746692571,39.84059504468543,41.819160246061344,41.59020490252156,40.83110639942727,39.657325467090565,41.710460099585724,41.887650536998564,13189.60606973975,32152.36776823557,40098.5319453329,35525.42846493099
real_0023,28.35662921177095,2.5350694219419694,35.0,38708.95777094144,40.60659254666279,28.871485245951614,19.31006731092852,17.62759118459936,31.605754587397456,44.58487384710268,45.86625890654867,39.42247840569826,41.89307745882984,41.58199293282807,40.72363422730599,39.393537862743294,41.746526137438465,41.91946413920299,14327.294421603658,34926.66033868606,42762.321017243376,37667.47156031327
real_0024,28.272933957303124,2.9159306108581404,33.0,37651.92964970363,40.59879079135628,29.169495204368513,19.7739075842192,17.751838910607823,32.18736765274327,44.7421285848376,45.91735165247439,39.3552674867116,41.887072467508595,41.62430410240043,40.75593733396626,39.05456300095217,41.76352319535541,41.96203054114756,13089.44659370887,31740.560088004735,39796.28819065612,36496.69921228828
real_0025,28.01892848761824,1.1805809515191825,39.0,28750.13517555812,40.57144463194795,28.908378765899393,19.4240273053311,17.93942806438863,31.22766207068173,44.13677571161268,45.84459595178898,40.41598591724463,41.52753154204748,41.48733934000771,41.08061441905079,40.46512140124485,41.50548514696541,41.6408696116069,10828.557261465294,26004.771574877774,31786.031677141673,27875.89887384276
real_0027,26.32516581127773,1.5885156125389983,32.0,35163.23511600564,40.77388025464996,29.93204023805946,21.214868580598875,19.747808345784915,33.257316159437146,44.899126337151145,45.88802456009718,40.311751775279795,41.7254934757524,41.59942798522717,41.06385548255199,40.22429457005958,41.678630341631056,41.80197579509477,12954.531319519567,30684.548253544424,38303.47799914703,34507.08047593489
real_0028,28.412668447419207,1.334673606342733,35.0,38051.95077741095,40.58858681926294,28.944854457988654,19.598394475307234,17.792941068314796,32.369854046873144,44.77023287344691,46.00477356432172,40.33637731051113,41.770380759793184,41.59485824912897,41.131730940467655,40.45723095140601,41.6581392473207,41.781859832435885,13501.511403720053,31899.47815636507,40132.141970465884,37094.346516229125
real_0030,26.727936298514656,1.9169223897838918,40.0,31569.630874152797,40.75404266377723,29.865522941088493,20.907145838279675,19.183005514229123,31.157473747051483,43.964718587399226,45.74295558534158,39.98356463814891,41.749655812694655,41.61918426549863,41.0124325778946,39.957787194384224,41.61687773619941,41.842908610261865,11812.027523330025,28092.684894026286,34395.28169636415,30712.064833986733
real_0031,27.45060793399068,1.631739693781192,37.0,32250.949807710458,40.55518925886382,29.19896888458889,20.027389281177086,18.50672072672236,32.00107779376145,44.33805521003706,45.73425505714624,40.19941762880589,41.72135619967125,41.5782770051626,41.01571735053307,40.17269886412071,41.619323230513984,41.78948350616889,11759.58179650408,27878.579402281022,34909.99014061362,31530.050185116597
