iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
0,97,base,base,0,0,0,0,9.00567e-18,4.37188e-19,5.13817e-18,1.75806e-20
0,97,real_0001,real_0001,0,0,0,0,512.553,1.70771,2.77185,0.296625
0,97,real_0002,real_0002,0,0,0,0,1053.91,20.7827,69.8065,12.1469
0,97,real_0003,real_0003,0,0,0,0,1463.17,209.789,339.869,80.7835
0,97,real_0005,real_0005,0,0,0,0,4317.08,17.8088,28.5175,56.082
0,97,real_0006,real_0006,0,0,0,0,10054.6,60.5811,124.7,2.24944
0,97,real_0007,real_0007,0,0,0,0,179.775,0.229354,0.891814,124.234
0,97,real_0008,real_0008,0,0,0,0,5244.05,20.1685,21.4086,87.0344
0,97,real_0009,real_0009,0,0,0,0,3958.52,2.39392,6.38783,33.7051
0,97,real_0010,real_0010,0,0,0,0,5734.81,29.3397,35.5134,94.9615
0,97,real_0011,real_0011,0,0,0,0,110.752,1.79734,0.711186,8.16236
0,97,real_0012,real_0012,0,0,0,0,1294.13,31.6777,41.5038,55.3268
0,97,real_0013,real_0013,0,0,0,0,1556.82,10.4457,17.1688,43.3197
0,97,real_0014,real_0014,0,0,0,0,4241.68,60.2547,149.569,67.0873
0,97,real_0015,real_0015,0,0,0,0,120.04,0.981447,2.45871,32.9942
0,97,real_0016,real_0016,0,0,0,0,288.65,13.8048,20.4505,32.2253
0,97,real_0017,real_0017,0,0,0,0,791.118,90.8809,183.257,0.967737
0,97,real_0018,real_0018,0,0,0,0,1091.79,66.3564,115.451,15.7578
0,97,real_0019,real_0019,0,0,0,0,57.804,4.29259,11.055,5.27919
0,97,real_0020,real_0020,0,0,0,0,199.845,3.29069,0.757236,3.5504
0,97,real_0021,real_0021,0,0,0,0,1247.16,5.17314,6.58526,131.714
0,97,real_0022,real_0022,0,0,0,0,284.027,5.98747,11.5239,20.5317
0,97,real_0023,real_0023,0,0,0,0,3519.94,18.0188,26.397,0.269774
0,97,real_0024,real_0024,0,0,0,0,307.592,9.39347,23.9732,31.567
0,97,real_0025,real_0025,0,0,0,0,552.422,22.2918,30.3043,78.9206
