obsnme,kind,series_name,time_years_total,obsval,weight,obgnme
h_compliance_005y,head,compliance,5.0,40.56907485978568,4.0,head_compliance
h_compliance_010y,head,compliance,10.0,29.169481576000173,4.0,head_compliance
h_compliance_015y,head,compliance,15.0,19.853611502407546,4.0,head_compliance
h_compliance_020y,head,compliance,20.0,18.24256743335152,4.0,head_compliance
h_compliance_025y,head,compliance,25.0,32.24839631893219,4.0,head_compliance
h_compliance_050y,head,compliance,50.0,44.54214277798984,4.0,head_compliance
h_compliance_120y,head,compliance,120.0,45.71262813947177,4.0,head_compliance
h_receptor_005y,head,receptor,5.0,41.6025227089363,4.0,head_receptor
h_receptor_010y,head,receptor,10.0,40.89630764789418,4.0,head_receptor
h_receptor_020y,head,receptor,20.0,39.78037151857159,4.0,head_receptor
h_receptor_050y,head,receptor,50.0,41.71617712365924,4.0,head_receptor
h_receptor_120y,head,receptor,120.0,41.87113866307893,4.0,head_receptor
h_landholder_020y,head,landholder,20.0,39.76432204315143,4.0,head_landholder
h_landholder_120y,head,landholder,120.0,41.83567361606628,4.0,head_landholder
q_mineinflow_005y,budget,mine_inflow_total_m3_per_d,5.0,12910.820489004567,0.0005,budget_mineinflow
q_mineinflow_010y,budget,mine_inflow_total_m3_per_d,10.0,31666.90465364196,0.00031578710042473053,budget_mineinflow
q_mineinflow_015y,budget,mine_inflow_total_m3_per_d,15.0,39346.29225825035,0.00025415355364019447,budget_mineinflow
q_mineinflow_020y,budget,mine_inflow_total_m3_per_d,20.0,35279.46783890384,0.00028345098757336323,budget_mineinflow
fcst_max_receptor_dd,forecast,fcst_max_receptor_dd,,2.099249372908517,0.0,forecast_receptor
fcst_max_compliance_dd,forecast,fcst_max_compliance_dd,,27.60025042635254,0.0,forecast_compliance
fcst_recovery_years,forecast,fcst_recovery_years,,34.0,0.0,forecast_recovery
fcst_stage4_mean_inflow,forecast,fcst_stage4_mean_inflow,,36148.217143998,0.0,forecast_inflow
