realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
real_0013,27.616980829162188,2.3435375079239975,36.0,36610.23079337197
real_0015,28.065318020331212,2.2085525163154855,36.0,33851.71238482724
real_0026,27.106672387701106,1.8240829769313152,35.0,32914.34089472388
real_0029,27.853385699918643,2.037216036100581,39.0,30917.842775292065
real_0069,28.12170478996319,1.596681428667658,37.0,34366.27513968281
real_0079,27.91623835399195,2.4294161857563523,36.0,35796.54863621091
real_0001,27.07433549355626,1.6326641458239806,35.0,33921.59579395598
real_0002,27.039734083111323,1.9137079981068652,33.0,34799.88199577019
real_0003,28.683222782332468,1.5280415760718782,39.0,36152.84348774159
real_0006,27.04906476215629,2.230589499344859,31.0,39617.303753957895
real_0007,26.574970711782683,1.8734905336397958,34.0,35276.58872026056
real_0008,26.587879883582374,1.5053655663621086,37.0,32132.758357275023
real_0009,28.211906287209228,2.8961797063169286,38.0,34025.18484384996
real_0010,28.18478412445398,1.550045329310187,45.0,32120.96906837145
real_0011,27.810430556110543,2.04055723446632,37.0,35107.291365573226
real_0012,30.506088498378908,1.4341578220009268,38.0,33990.17054363658
real_0014,27.389789335148325,1.840822626422387,36.0,34708.9773995618
real_0016,27.941492165528707,1.820869215225919,33.0,35175.347667794704
real_0017,28.77567228329679,2.303019701177469,41.0,34650.70066746701
real_0018,27.294812298353282,1.8607504025184198,33.0,35215.114726641055
real_0019,27.89501548182059,2.8206513631640107,35.0,35703.56995704921
real_0020,27.500515148693154,1.652067004832503,34.0,37129.30713499199
real_0021,27.52544429832385,1.8793045558066765,34.0,35250.18573880959
real_0022,27.34399233255518,2.2388570369056424,35.0,36411.3747474462
real_0023,28.35662921177095,2.5350694219419694,35.0,38708.95777094144
real_0024,28.272933957303124,2.9159306108581404,33.0,37651.92964970363
real_0025,28.01892848761824,1.1805809515191825,39.0,28750.13517555812
real_0027,26.32516581127773,1.5885156125389983,32.0,35163.23511600564
real_0028,28.412668447419207,1.334673606342733,35.0,38051.95077741095
real_0030,26.727936298514656,1.9169223897838918,40.0,31569.630874152797
real_0031,27.45060793399068,1.631739693781192,37.0,32250.949807710458
real_0032,27.160463149761487,1.6261680909544083,32.0,36451.480464135944
real_0034,28.054846203191808,2.403102684258606,33.0,35759.929495575954
real_0035,28.012871644569643,2.100545239217702,36.0,34416.37584846663
real_0036,28.374806569068486,2.29858791525303,35.0,36445.45124850812
real_0037,27.238720696189663,1.7551207808238871,35.0,35765.65384444329
real_0038,27.78585895045645,2.2173524738993535,33.0,35572.27410364521
real_0039,27.760781627056744,1.387273265295569,39.0,31484.283364192284
real_0040,27.1283594522591,1.6659079661049958,33.0,34675.14101091628
real_0041,28.41118543564138,4.179361565460773,37.0,38994.28646448039
real_0042,27.498521596485098,1.5790348965872525,39.0,30307.519570439385
real_0045,28.162355154300364,1.8268363824743403,35.0,35718.47645812845
real_0046,27.553320959466237,2.035733980464144,32.0,35571.33379363526
real_0047,27.830407925710663,2.608846748718534,36.0,37307.02813829978
real_0048,24.10156094510987,2.0740680742382196,42.0,28061.744416587208
real_0049,27.461120240692726,2.218846040147284,35.0,35283.486754871876
real_0050,29.02150788223458,3.3501118293827687,35.0,37603.33251675278
real_0053,27.511508922417676,1.4861535267312647,33.0,35820.30501652275
real_0054,27.269009209428408,1.9661631301962075,32.0,35716.0155132488
real_0056,27.080843432796247,1.7003363182719653,36.0,33485.3569854275
real_0057,27.499584659907697,1.369640188282638,37.0,31104.086719648913
real_0058,27.67745099802026,2.3823102625676995,39.0,34480.347427207955
real_0059,27.745686540672427,1.4000356385669477,33.0,36606.957053458675
real_0060,27.48183248141491,1.6634890078148246,36.0,34700.041029764965
real_0061,27.71472633327621,2.6256292898824967,35.0,33630.97617139222
real_0062,28.124358691653892,1.9033989182283122,39.0,33985.33148476279
real_0063,27.670684204695604,2.357103304702761,32.0,38737.7043260336
real_0064,27.714351229383034,1.9223136466633406,37.0,33044.59642430845
real_0065,28.675634220154624,1.6632114206419786,33.0,38230.27807183158
real_0066,27.761411005645304,2.0712142855757563,33.0,35196.47205104131
real_0067,27.149527773176207,1.5578579770361998,38.0,34419.95107103944
real_0068,27.821878760230216,1.8391689981661514,41.0,31401.356696568768
real_0070,26.79403713340821,2.808513771989297,32.0,36699.54041015984
real_0071,26.994991135172548,2.107809709782316,34.0,34804.11099688693
real_0072,27.404703083587055,2.5449967501465807,34.0,36407.98785143086
real_0073,27.641441625742132,2.895739083808934,32.0,37906.36191913206
real_0074,28.2332383065061,2.1095011092316014,36.0,37093.53620495724
real_0075,27.68885490019191,2.5102913576035206,33.0,38397.81641524455
real_0076,27.642425303276795,1.8191857394604085,35.0,35216.77902545685
real_0078,27.25785958936641,1.500939056803169,30.0,36613.59671434165
real_0080,27.47853582253444,2.446475627967672,35.0,34840.55121374792
real_0081,27.498524068837508,1.7943688694154005,32.0,34355.601748462
real_0083,29.02026373021382,1.2714842343798551,36.0,35091.167063201094
real_0084,27.05847081090586,1.4768234357247678,33.0,34829.09176925963
real_0085,28.109796855232652,2.385139280504994,30.0,35636.21858143859
real_0086,29.062155961818625,1.800723214403753,38.0,36060.00252858134
real_0087,26.74142047991655,1.1895989729606171,41.0,30080.173667989533
real_0088,27.601610693968194,1.2002386457147836,38.0,33196.52070570305
real_0089,27.497694276048154,2.2254632329777735,29.0,40356.090522863684
real_0090,28.124180748713144,2.0134550841845353,36.0,37804.951580663415
real_0091,27.236601067842802,2.0634472998563993,34.0,35080.13602772021
real_0092,26.593408096638324,1.822937825584276,35.0,34033.53909612092
real_0093,27.40760636989529,2.233606315466126,33.0,37055.86122289874
real_0094,27.7843219505862,1.5782681676703518,33.0,35081.88465784887
real_0095,27.506470322161913,1.8082899201734932,33.0,36299.46246057654
real_0096,27.635062283142233,1.7275186172081192,35.0,34045.59605667864
real_0097,28.00370848712369,2.9809175170283737,36.0,35229.81643481371
real_0098,27.15710044355794,2.795621221438452,43.0,32598.22841313985
real_0099,27.605286780704926,2.1317334213529477,34.0,38759.30912332276
