parnme,n_realizations,mean,std,min,p05,p50,p95,max
backfill_mult,89,1.0067827480318567,0.24387244989575255,0.34145712755863017,0.630302527724455,1.0062297510056246,1.3754669286517727,1.5074839487987117
channel_mult,89,1.0047072221827025,0.16048012208701967,0.5567461613220882,0.7522257923731644,1.0164442270942062,1.2716331128141987,1.3802807780037618
ghbcond_mult,89,1.0042578716380817,0.1550938734561292,0.6202468823655334,0.7284901198644356,1.0176839063080652,1.2344128969126296,1.3550013048652378
pp_lower_001,89,-0.0015134909734004413,0.30368575599455494,-0.6215413276921641,-0.514316318247301,0.012289414534193008,0.44108367426985406,0.8713750529538762
pp_lower_002,89,0.035061128526497405,0.3247474125600692,-1.0,-0.5098949974274581,0.06528806674337621,0.5592925772338885,0.6751870404707998
pp_lower_003,89,0.038991171028621666,0.30347344962526535,-0.6890594945619858,-0.4766447146155503,0.018378573136591428,0.49939298605231797,0.684906320169828
pp_lower_004,89,-0.0009473600348131388,0.32480408336946315,-0.8145747442731506,-0.5659204314232593,0.0222145379599579,0.47085204644453776,0.6471443910617346
pp_lower_005,89,-0.05587459871172217,0.33311983393444994,-0.8127025136371561,-0.652728322919579,-0.041535125220486135,0.48744111336646606,0.7678360035840228
pp_lower_006,89,0.01883264633088293,0.3134451194164267,-0.5875514431822215,-0.49120284820226984,0.021409631239679275,0.511535189074702,0.6513237850223628
pp_lower_007,89,-0.006149141847824293,0.3824401237152131,-0.9286257057672482,-0.5291573163973284,-0.06554903778438323,0.6016179669529637,0.9252964195995111
pp_lower_008,89,-0.044496154536386535,0.3218348595653958,-0.9130580375983,-0.60360257089699,-0.04445651811874722,0.43718189552286496,0.6437115816469803
pp_lower_009,89,-0.03958334143061778,0.3564079987393766,-0.7439558073559293,-0.6117859170954449,-0.08761087916173643,0.5679115257057157,0.8132149931309937
pp_lower_010,89,-0.021519357670751183,0.3617937642376271,-0.9275049002584925,-0.5648274009024861,-0.037424058949885576,0.5642916835663326,0.7469422518424736
pp_lower_011,89,0.018959714884867418,0.3203462873941972,-0.6763594901724177,-0.47655528122345353,0.018031490757229457,0.5553407731946327,0.9774966538237719
pp_lower_012,89,-0.010055195969671736,0.31638164392423823,-0.8198633330862248,-0.6295366566202588,-0.006394391264679722,0.42029392545280414,0.6881511715247858
pp_lower_013,89,-0.07832123574138761,0.2869519433795452,-0.8825952474335693,-0.5486979274130626,-0.03623192006171766,0.3518644245561932,0.5315863986608788
pp_lower_014,89,-0.018035156095818645,0.3190651765164907,-0.8052324801348607,-0.48685754367224704,-0.021740015660966974,0.43184127595116134,0.7764116637585841
pp_lower_015,89,0.03865708104914964,0.351019535573064,-0.6073857871427253,-0.45271818319775425,0.021018591300675682,0.6011850892365771,0.8008388237356945
pp_main_001,89,-0.08107899777938864,0.40433321968924707,-1.1263848762507556,-0.717660074420103,-0.09098922086001594,0.4790471321938545,1.0576965126486328
pp_main_002,89,-0.002656693138868281,0.4308051415046663,-1.170379283331762,-0.7173238597630288,-0.020942034412704067,0.6632120272780526,0.8081086798247435
pp_main_003,89,-0.07649187754323672,0.3931212223835149,-1.0865867074355484,-0.7199075764495839,-0.09434276056906601,0.5162182968145459,0.5871781169226105
pp_main_004,89,-0.056882488894493245,0.43636687455000006,-1.0774801734810695,-0.7209287093435296,-0.10205482194833428,0.6844167089094338,1.10804219370146
pp_main_005,89,-0.04097603725663407,0.37416819336608376,-1.0838323549361037,-0.6715378076383015,0.02473146365320475,0.4578634165982638,0.7958600524372477
pp_main_006,89,-0.049407317159058134,0.37162025649059793,-1.0828662027947527,-0.6722650650197787,-0.06254011243371248,0.4987815491896992,0.7318510499615796
pp_main_007,89,0.007386254632100301,0.35530125469231666,-0.725004375996147,-0.5029259003675661,0.0034522111136149336,0.6014234507072326,0.9402605437917108
pp_main_008,89,-0.06557718913423793,0.3543789580474806,-0.948148132811026,-0.6916193104050061,-0.05192233088380135,0.47546804051748903,0.6914486038476818
pp_main_009,89,-0.02474990205873189,0.3396675562213045,-0.8175335601507596,-0.5370473818403604,-0.05313272235536923,0.5795702604704235,0.8369712898885507
pp_main_010,89,-0.02872275473757279,0.35307625618889077,-0.9289805228377193,-0.5946386271294131,-0.048285588249352696,0.5995054332088429,0.819056450631612
pp_main_011,89,-0.06621058564124552,0.36664440270964027,-0.7657057887135951,-0.5646096137110196,-0.1543965672662449,0.5596517735534648,1.1510203245363624
pp_main_012,89,-0.055150864817661904,0.3876156165817087,-1.0926666902135302,-0.6944613959082511,-0.08533906443734363,0.5719125704042073,0.8130210246237729
pp_main_013,89,-0.06695065396628166,0.3363103651347791,-0.8706680866524525,-0.6737318311825558,-0.05373247058034991,0.4251866092152711,0.5251158556169822
pp_main_014,89,-0.03355360179508669,0.3793274224805863,-0.8614152837916036,-0.6945845465381077,-0.011616038668864376,0.6464670316698111,1.1282934130751965
pp_main_015,89,-0.07397188587611943,0.3304173051753818,-0.8439487208621765,-0.6254100803282079,-0.09731909922826038,0.5615910935058965,0.7766015096145529
pp_main_016,89,-0.012734681985846081,0.33501628720394383,-0.8824932374851845,-0.6007350759506292,0.0001355528924956162,0.4889733926164504,0.848375234058533
pp_main_017,89,0.022937030442068296,0.17397489074372877,-0.3083816955943329,-0.2580268079313523,0.014416887898133168,0.30978742945277565,0.38926145251375216
pp_main_018,89,-0.03498659318372416,0.1047679271168652,-0.19425917288721195,-0.17801001573684933,-0.04603961492180329,0.1349814969578671,0.3487656315170436
pp_main_019,89,-0.10180669140953018,0.2613576659357024,-0.6471230365722143,-0.5487707827631415,-0.0904930605613288,0.298060127208529,0.6788265773842033
pp_main_020,89,-0.019158964136772778,0.2689693409062328,-0.608708035980267,-0.42584269351492016,-0.025534423857138527,0.40519299030227435,0.5905748787902513
pp_main_021,89,0.0833094321848957,0.3394472097109416,-0.7647373177736744,-0.49041422770775106,0.045231097422676114,0.6313424512628676,0.8487379123391058
