,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0034,29.752944817082344,2.338954931789054,24.0,48837.8607063198,39.150298738097774,27.767281162581266,17.427270230278157,13.807077640833105,34.78968810088248,42.9725288315671,43.342888598743244,39.325404652969326,41.049996587196546,40.9285906917414,40.34792840385396,38.795476829360474,41.087721352642745,41.12520909359801,12694.420475503615,36447.936263440424,47991.14052468842,46877.82584240302
real_0065,29.490389731455785,2.0674183055681254,24.0,50990.19899342155,39.00524960607071,27.840831623252424,17.505860041691648,13.905447373545108,34.99406993970339,42.821118165958424,43.175647346439725,39.29521207630187,41.030582702170754,40.90934488427205,40.348044237590734,39.04023773084281,41.067869990134476,41.098175794643716,13416.987191240498,38069.285380685025,49854.12678475441,48843.13903831123
real_0099,29.68154475476382,2.316047680414762,24.0,52559.39736698086,39.063149037809715,27.7004591969836,17.50584128717726,13.861228362503658,34.85846873831533,42.993128203531874,43.33504441260874,39.146887429465735,41.11009647062946,40.92595866276188,40.26393815726752,38.85389731725101,41.11967710417416,41.15962232760649,13569.146462730663,38639.008965836205,50897.64141663103,50349.04337840248
real_0068,29.47289181936428,2.1482355320783455,24.0,48929.62980855102,39.00058306049475,27.637123253757856,17.318901731036043,13.791026998382167,34.720520074307025,42.68415346472178,43.07737941495551,39.13815243124576,41.111564035749154,40.93211811573633,40.330580280477996,38.990044865495975,41.08764710681766,41.129555117294586,11900.321940796359,35470.51905029327,47286.30237272638,46588.276530973206
real_0074,29.5485993722694,2.296266926348821,25.0,50927.172631204405,39.11726755650531,27.79208319969682,17.56390244175895,13.980590860375598,34.77135401456888,42.90345936562529,43.30979768529376,39.376372547873466,41.034717299174986,40.91261648923007,40.33901617486658,38.82578587112556,41.07503191512317,41.11207108066713,12905.737053770796,37259.91723515607,49450.00062706937,48648.97994827088
real_0014,29.97424925428817,2.2622989873575605,25.0,50527.95874473834,39.01860726934671,27.539130683156618,17.220703461173272,13.57199684952705,34.65485365839278,42.93634015644856,43.338407145699264,39.31931703102043,41.09122584187795,40.9125724099078,40.20338499341537,38.91572213429755,41.11819467073181,41.16600024961872,12952.714695690653,37164.75668171824,49211.4815816542,48456.30377181276
real_0051,29.59218597768681,2.112772997847266,25.0,53297.53718848738,39.19019937130723,27.842596477613196,17.58237375224502,13.90363987710576,34.78597248639552,42.86332343163577,43.33632529906838,39.40857674671649,41.128829351551914,40.946898360305084,40.2677386405303,39.08016600969714,41.1320695276951,41.184595144441985,12795.44898702324,38068.154325601856,51134.18180735657,50824.19387481226
real_0002,29.49507475776604,2.3469844135614792,23.0,51095.04248535756,39.214597522394186,27.804959852318177,17.35037913224709,13.907746990524581,34.848739386331935,42.91511816143577,43.268587730455195,39.3347516735204,41.03827113076448,40.91952906929605,40.307423074959544,38.77889354734577,41.08847439385648,41.120036483569336,12629.474447489913,37969.671283151925,50195.23109381886,48868.84061264239
real_0003,29.983894674048987,1.9412747244160684,25.0,52500.1887466857,38.91961752466658,27.39696664834556,17.085037494869884,13.415759672074213,34.83549416302872,42.74523142510556,43.166315471940315,39.38197596066681,41.08474705372875,40.912125442364136,40.31663807663921,39.189704956512635,41.077059099404664,41.12006619945134,13212.555384414018,38266.20736884935,50882.48908974195,50243.6139044446
real_0006,29.288030860171887,2.0977689364450214,25.0,52471.078740439305,39.068376679202096,27.75276479858735,17.534976304358636,14.020978945954802,34.660401164676415,42.71240220638865,43.14182230072281,39.353937540097355,41.064021392629904,40.91416747035305,40.305054720918925,39.03183961891598,41.08120457709539,41.12190955115842,12966.91501224376,38553.59829733839,50922.24267726307,50012.10721751189
real_0010,30.226710043074245,1.942923681025711,27.0,49437.19501411924,39.103511305676115,27.62422086819706,17.25358291546995,13.326962330284292,34.44240328496984,42.797684238799114,43.34744943317643,39.49776873890611,41.10180986171401,40.940945212615034,40.34414453586166,39.21791102951645,41.09378274351413,41.15100117630451,12360.10214824485,35826.86523052342,47759.161893497396,47210.489918175226
real_0011,29.328904373816428,2.269367214444344,23.0,51182.16429315637,39.15674169548451,27.888892774683068,17.42838367660961,13.95654666606959,34.88326828823198,42.77361726743522,43.112105398043646,39.174579327597876,41.061275012412544,40.9196722756279,40.28332519357283,38.86065369099634,41.085798375206004,41.12134218486138,12327.706661363527,37185.16694250802,49953.13625510384,49125.30949319998
real_0015,29.923978213490994,2.2094119498160794,25.0,47590.83751625681,39.087923628508015,27.67117786086121,17.356265341304006,13.644711545240494,34.783492899143475,42.90324679216795,43.33551861002105,39.23218218534815,41.09802742197093,40.92322587900534,40.26860177647146,38.95553240433426,41.10292770333864,41.152470882967215,12221.443874286108,35031.647268640125,46506.93248659953,45765.372570257205
real_0017,29.591049099250522,2.122537006744018,26.0,49795.57663805409,38.98259433159592,27.59029219532244,17.442343959456167,13.791840343982631,34.650563784270965,42.665550386428066,43.170339102285325,39.45018626218085,41.01219434029663,40.87271403107546,40.194646654515026,39.00261196121175,41.06075121263164,41.113372923456055,12424.43617056277,36150.19224272419,47961.97171735019,47451.13478576224
real_0018,29.48071480792222,2.192928396773816,23.0,50945.833286582834,39.18797067891033,27.743609300059017,17.405890608312365,13.97970229495003,34.87690393085462,42.95148803450669,43.29442786943545,39.13516679280166,41.122724647262224,40.941111174413614,40.30584294196425,38.964863919825845,41.11429017515491,41.14991903468125,12678.98521395828,37570.25436041327,49548.468794751745,48647.13332226031
real_0019,29.5388764800119,2.3077110614089023,25.0,50631.73591087891,39.21441363205053,27.699734114225883,17.454468860864523,13.910333327069736,34.73183771652666,42.850435394485984,43.28132120015616,39.26836373491586,41.11795371829024,40.94974369247826,40.345402185932706,38.85267503828572,41.10735165891957,41.15269354373921,12105.93087541944,36723.40623194298,49165.99435176208,48416.952790227675
real_0020,30.0540535253607,2.0285055293783145,23.0,54254.03958375527,39.01831250556797,27.55425412976301,17.051721554558643,13.318860009300316,34.76578675010264,42.84798324740223,43.20439213256325,39.62261709586984,41.055798136101956,40.92488295381596,40.368129029319775,39.09446129574047,41.086333162772725,41.11591459879231,13311.32981743101,39294.6435407013,52223.16198337257,51667.91081514531
real_0026,29.543346195696834,2.128653306578201,25.0,48234.344548626446,39.14241890339152,27.820319871629504,17.437063343263105,13.776758571268166,34.93108142581859,42.69443321078908,43.12345295565537,39.31888634034601,41.08245947529669,40.94518544317868,40.38511913185576,39.00134468689006,41.08129571214015,41.12177591609092,11583.773437060683,34841.64570099773,46399.96254764458,45960.84484035306
real_0029,29.408418600040456,2.156181596093141,25.0,46641.91987912925,39.16965258349494,27.84204047755117,17.454218587806686,13.989051666860982,34.598677944346726,42.796816433246,43.22419438006164,39.360019922734196,41.092436418996705,40.94992693083716,40.363954151262995,38.99128079199308,41.098323852126036,41.13953606396974,11096.914937860693,33417.10198122805,44847.3353614681,44352.23798211536
real_0035,29.453351552491625,2.2847651282997816,24.0,49977.469411173326,39.147874058047165,27.691235306798898,17.498439999771755,13.949035106512405,34.802743776652555,42.865585996158025,43.25254047100322,39.34163409115789,41.1109228306081,40.9240182447499,40.20172570257433,38.89532431388902,41.1256573289705,41.17261435333653,11801.556050345705,35578.15451828019,48094.00233033121,47685.858102765385
real_0036,29.44618158741919,2.374412922764833,23.0,52036.02650335296,38.99033633388968,27.755758867764087,17.531781126030776,13.753935570936902,34.60540351195483,42.691741499261035,43.04923238567091,39.348882844725345,41.03330801704006,40.93098570482939,40.51475032995708,38.70489396770511,41.05053712555858,41.074943747635935,12825.769235809026,37968.43971538407,50339.44770610611,49573.57789093912
real_0038,29.583192350379484,2.251962407404555,23.0,49726.07950875085,39.07419249785545,27.7355650758459,17.46358727469457,13.88503828646899,34.78396263724688,42.95939979782792,43.29081837550931,39.312709843238366,41.0612043332596,40.92311108173978,40.37257844540809,38.868545462685205,41.0827137921497,41.113248018442356,12631.072962770417,36561.72596348758,48255.18893119517,47575.30600953002
real_0040,29.59025205426405,2.003828588236175,24.0,50024.29203956464,39.06955703586394,27.691555191728458,17.58824052065613,13.865339402686075,35.04062133752199,42.87967456411002,43.26116264213128,39.44071157644627,41.05705456431267,40.89450346087688,40.25402512152388,39.127380122968276,41.08012581056751,41.12176204114407,12484.19410719835,36248.15227909008,48204.47073385028,47827.16041271979
real_0045,29.736105573541245,2.210275333553213,23.0,51189.07312799613,39.011198991450726,27.56387124937899,17.42660255769883,13.750051255354995,34.7249104823995,42.95715520464657,43.29284822492745,39.20545758304149,41.07893716363468,40.903668129034024,40.24629041422155,38.93743763132529,41.09882474518091,41.13832100114582,12859.602475536332,37017.65890412861,49278.350333840644,48980.92025584019
real_0046,29.86698273967443,2.2779382238268795,24.0,49835.646684319145,39.090728287790476,27.619033884422695,17.354625474860807,13.696539017114315,35.03837857905759,43.000996377333706,43.36509602766448,39.451707787105214,41.071450713365266,40.93463629677607,40.38983539055265,38.85890985301829,41.09438975815899,41.12819045508527,12353.168282389997,35869.216501168434,47877.674866404435,47594.82326502737
real_0054,30.038779723110153,2.114912115667231,24.0,50468.57799794385,39.16782237789353,27.551071234629145,17.086711768828565,13.52945397479048,34.50036182726233,43.0545808955518,43.408142681333786,39.396117135865026,41.079040033268,40.938201072637725,40.35679660312333,39.029547577811464,41.104093315072475,41.13772247085586,12427.874870123249,36687.616766887324,48894.463466278496,48191.64972778813
real_0057,29.071855389319616,1.8906170940316471,24.0,49034.87478510503,39.128123490461626,27.615523413781567,17.344309524171127,14.317492904804375,34.70749081059499,42.864604327430015,43.22384885740136,39.45767646109199,41.06793368751987,40.94340770917963,40.42189263986222,39.22776147892353,41.082263173682115,41.112054780886886,12137.061529594544,36443.263441836716,48290.21913837534,47015.200148551114
real_0059,29.62309259976314,1.7909673531911636,24.0,51001.457548509265,39.082066116844,27.70512049603424,17.585677514973654,13.906970731887405,34.724124017685,42.93608480824842,43.32008819218796,39.41920852476213,41.06495804152798,40.90682744152635,40.27789166055874,39.34914961387101,41.09078322136413,41.129336765248,12700.304463319673,36566.853494980955,48890.85946154098,48782.663525360374
real_0062,29.86007971145337,2.2964239188634394,26.0,49057.57317247773,38.99860217315902,27.581599964940448,17.283907736074998,13.640961230957412,34.81734874405944,42.81967782071303,43.250914184613904,39.27658620179202,41.04312306565881,40.88943311867059,40.172532948671105,38.859623486122715,41.08831565706775,41.1408555826326,12589.566794747652,36064.54726792169,47782.69376283845,47080.69602161516
real_0063,29.87892744542473,2.4156125390682988,23.0,52382.978777773336,39.16092134158545,27.79319438931432,17.267166009373824,13.55277945934296,34.76222842903247,42.91613989982878,43.2682033684677,39.16108735524901,41.103447956769706,40.93713095114498,40.31541231628778,38.73445424841834,41.10623040437721,41.14253613480434,12652.934556173512,37791.61250846516,50507.78480100628,49904.73093297412
real_0064,28.63644029642385,2.2587928114615394,26.0,48054.78280342624,39.174509051857534,27.642914139152488,17.711064030003307,14.866594028995278,34.79662569952555,42.827866565384134,43.328959218492884,39.32992471917009,41.11738734821759,40.94261109230589,40.26895093070306,38.92038163510487,41.114654145262314,41.17003044378141,11925.165559267869,35671.730271403634,47085.20989814291,45893.5625259165
real_0066,29.452632059297304,2.1155735156958713,24.0,49052.425017851594,39.078932098860236,27.779009041354733,17.46152610895527,13.99568043342985,34.93840782627036,42.90126502719759,43.26557590029888,39.55064810692636,41.05477271795194,40.94709209914664,40.49157129935473,38.99282525253485,41.0730064799225,41.1021240309032,12354.555061258654,36019.660635965905,47878.92721280968,46971.97379824915
real_0067,29.759758798644953,2.488859257409601,26.0,50714.29809467493,39.02645049506597,27.755176229904993,17.453806496587458,13.801683678038822,34.61286599020624,42.87813364341277,43.32459970131031,39.1981804075428,41.062763017195635,40.91505510652077,40.31025791159065,38.64698288337556,41.08057144963101,41.12477497096352,13685.016143817415,38205.9906351668,49772.59418717571,48527.285979816916
real_0069,29.598316456610974,2.2021616573910947,25.0,50996.52904729153,39.147432035002915,27.818100857497356,17.54625603047898,13.936668056176549,34.78042300330766,42.91355850341366,43.33225810271418,39.252762367748936,41.13085561387683,40.94453169638082,40.2978301412835,38.97506150408932,41.12068584993404,41.166821568573205,12980.416556152026,37614.58242780677,49606.741366649396,48758.1701689125
real_0070,29.62812209903511,2.189307209032549,25.0,47985.350265386165,39.18397080256602,27.916673286521366,17.58978614691106,14.058550436341761,34.70382013494425,43.031349761278875,43.45462322747657,39.37786021036988,41.070354177102075,40.948115569694295,40.4276323128151,38.93893887182488,41.083053652716266,41.118919098940616,12977.033719233983,36137.805820526104,47113.948583320904,45976.886035500924
real_0071,30.436834150808025,2.2215695762143497,25.0,50861.42360009721,39.019875504493555,27.675449513079407,17.235638549928975,12.980188193179218,34.63749033808347,42.7990993173107,43.216876658464386,39.39415979945508,41.06707124824625,40.89215857089234,40.17597723852761,38.93748315804925,41.09840712681588,41.14755850806885,12453.886807994315,36099.65540865373,48349.25743881708,48430.80634344223
real_0072,29.7339522523613,2.4404693399350705,25.0,50809.49975260992,39.04507215743532,27.742671874272283,17.44956719722315,13.730671968872906,34.781201651266905,42.813450821446736,43.24492273998408,39.2972360058754,41.10374475056327,40.908489665450055,40.15740316517584,38.74591607930226,41.11761424941407,41.17243354992925,12698.341093226003,36733.78619504034,49052.87249827824,48541.1465891642
real_0075,29.66375840256088,2.1448093908654755,23.0,53386.78625753867,39.19342123464936,27.76630102960794,17.447868868486065,13.754239243828463,34.77131230197177,42.94971674108456,43.262627553198605,39.29746980694498,41.082379786718874,40.91190039134905,40.19631389708919,39.01960426983268,41.11830514798731,41.1559652143467,12186.361132678318,37114.92651633345,50802.44031345131,51004.44053345668
real_0076,29.544847333262346,2.0975834298677185,24.0,51301.05946014398,39.06170164722921,27.7769536419113,17.474597986035317,13.830083641053276,34.74960513279264,42.78548459669364,43.178869997028244,39.3927606445457,41.06475574836532,40.924833377562535,40.354849137898995,39.02959991046937,41.08105772897978,41.11832178373358,12691.657398203715,37251.50043316862,49585.50082353233,48993.708673719004
real_0086,29.666844377071925,1.9726407276869082,25.0,50042.30529263318,39.17008529504525,27.70341092951803,17.316994133373743,13.865292941218469,34.65356615977438,42.90882302256434,43.363358829355846,39.50237799545641,41.059314010731846,40.93898723293559,40.40098218649753,39.15307408328946,41.080177594975794,41.11908363997943,12885.060298771572,37670.32511457058,49355.04005244996,47796.22269660395
