iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
0,58,base,base,0,0,0,0,1.13983e-17,1.69711e-18,1.0411e-17,2.32154e-20
0,58,real_0002,real_0002,0,0,0,0,459.184,11.2943,76.7877,12.094
0,58,real_0003,real_0003,0,0,0,0,304.145,49.921,128.459,83.6834
0,58,real_0006,real_0006,0,0,0,0,10171.3,571.08,1332.71,19.0587
0,58,real_0007,real_0007,0,0,0,0,247.975,7.56198,7.25871,102.068
0,58,real_0010,real_0010,0,0,0,0,4794.6,28.3543,47.351,101.152
0,58,real_0011,real_0011,0,0,0,0,229.295,7.03128,12.8979,4.59756
0,58,real_0012,real_0012,0,0,0,0,270.789,1.36475,3.52185,44.8251
0,58,real_0014,real_0014,0,0,0,0,2593.85,29.3368,95.8351,51.0757
0,58,real_0015,real_0015,0,0,0,0,694.427,42.1888,84.2476,14.1627
0,58,real_0017,real_0017,0,0,0,0,326.362,362.5,742.827,19.7575
0,58,real_0018,real_0018,0,0,0,0,651.693,47.3321,129.468,17.3518
0,58,real_0019,real_0019,0,0,0,0,277.989,35.0857,77.3661,1.54185
0,58,real_0020,real_0020,0,0,0,0,1497.5,18.3464,26.0799,0.574273
0,58,real_0021,real_0021,0,0,0,0,302.654,9.80056,18.6028,90.2427
0,58,real_0025,real_0025,0,0,0,0,158.193,20.1235,34.3282,79.8014
0,58,real_0026,real_0026,0,0,0,0,1595.25,34.5092,116.053,3.17742
0,58,real_0028,real_0028,0,0,0,0,289.034,4.07513,11.7369,1.6332
0,58,real_0029,real_0029,0,0,0,0,67.8197,2.99994,1.93169,37.9112
0,58,real_0034,real_0034,0,0,0,0,1690.78,0.0024576,0.591448,11.6978
0,58,real_0035,real_0035,0,0,0,0,1001.39,185.22,348.48,14.4268
0,58,real_0036,real_0036,0,0,0,0,1536.97,294.462,514.862,7.54202
0,58,real_0038,real_0038,0,0,0,0,42.3708,1.38711,3.3554,6.92446
0,58,real_0040,real_0040,0,0,0,0,114.542,5.03828,6.87982,0.460164
0,58,real_0044,real_0044,0,0,0,0,617.356,116.709,228.978,4.68654
0,58,real_0045,real_0045,0,0,0,0,1013.09,144.318,254.55,48.2328
0,58,real_0046,real_0046,0,0,0,0,180.237,1.1597,0.18218,1.54794
0,58,real_0047,real_0047,0,0,0,0,2066.38,1.60738,9.77581,0.732802
