iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,5,10,1979.25,3551.54,0.75,1,63.2305,66.8078
1,4,10,1979.25,3551.54,1,1,46.7315,61.0483
1,4,10,1979.25,3551.54,1.1,1,60.4773,55.9482
1,4,10,1979.25,3551.54,0.75,10,77.9494,78.6499
1,4,10,1979.25,3551.54,1,10,33.7622,55.7281
1,4,10,1979.25,3551.54,1.1,10,52.2848,47.1025
1,4,10,1979.25,3551.54,0.75,100,174.054,183.545
1,3,10,1979.25,3551.54,1,100,48.9104,51.3472
1,3,10,1979.25,3551.54,1.1,100,29.604,25.8733
2,3,75,102.472,109.261,0.75,7.5,10.3871,14.0323
2,4,75,102.472,109.261,1,7.5,27.0925,40.0396
2,4,75,102.472,109.261,1.1,7.5,24.4481,34.5799
2,4,75,102.472,109.261,0.75,75,54.0977,60.4872
2,3,75,102.472,109.261,1,75,24.9742,35.8123
2,3,75,102.472,109.261,1.1,75,23.4388,33.4963
2,5,75,102.472,109.261,0.75,750,97.4902,87.6509
2,5,75,102.472,109.261,1,750,95.8853,86.1738
2,5,75,102.472,109.261,1.1,750,95.25,85.5929
3,4,5.625,33.0234,41.5269,0.75,0.5625,3.25724,2.59423
3,4,5.625,33.0234,41.5269,1,0.5625,1.4219,1.13598
3,4,5.625,33.0234,41.5269,1.1,0.5625,1.13486,0.828086
3,4,5.625,33.0234,41.5269,0.75,5.625,7.93634,6.77014
3,4,5.625,33.0234,41.5269,1,5.625,5.80813,5.09788
3,4,5.625,33.0234,41.5269,1.1,5.625,5.10405,4.51893
3,4,5.625,33.0234,41.5269,0.75,56.25,15.046,12.2382
3,4,5.625,33.0234,41.5269,1,56.25,14.3445,11.7561
3,4,5.625,33.0234,41.5269,1.1,56.25,14.0704,11.5679
