obsnme,kind,series_name,time_years_total,obsval,weight,obgnme
h_compliance_005y,head,compliance,5.0,39.14136242373311,4.0,head_compliance
h_compliance_010y,head,compliance,10.0,27.75975471002628,4.0,head_compliance
h_compliance_015y,head,compliance,15.0,17.473921199561698,4.0,head_compliance
h_compliance_020y,head,compliance,20.0,13.911710105981513,4.0,head_compliance
h_compliance_025y,head,compliance,25.0,34.8264483445722,4.0,head_compliance
h_compliance_050y,head,compliance,50.0,42.9147093517186,4.0,head_compliance
h_compliance_120y,head,compliance,120.0,43.30774338643106,4.0,head_compliance
h_receptor_005y,head,receptor,5.0,40.93182996930837,4.0,head_receptor
h_receptor_010y,head,receptor,10.0,40.29119089164089,4.0,head_receptor
h_receptor_020y,head,receptor,20.0,38.9634550073708,4.0,head_receptor
h_receptor_050y,head,receptor,50.0,41.10980577555647,4.0,head_receptor
h_receptor_120y,head,receptor,120.0,41.152149100696,4.0,head_receptor
h_landholder_020y,head,landholder,20.0,39.27380693167973,4.0,head_landholder
h_landholder_120y,head,landholder,120.0,41.10093264305913,4.0,head_landholder
q_mineinflow_005y,budget,mine_inflow_total_m3_per_d,5.0,12579.482409994933,0.0005,budget_mineinflow
q_mineinflow_010y,budget,mine_inflow_total_m3_per_d,10.0,36968.90322649986,0.00027049761089022114,budget_mineinflow
q_mineinflow_015y,budget,mine_inflow_total_m3_per_d,15.0,49104.36462770664,0.00020364788498571882,budget_mineinflow
q_mineinflow_020y,budget,mine_inflow_total_m3_per_d,20.0,48342.27741017814,0.00020685827262855778,budget_mineinflow
fcst_max_receptor_dd,forecast,fcst_max_receptor_dd,,2.1978799835980354,0.0,forecast_receptor
fcst_max_compliance_dd,forecast,fcst_max_compliance_dd,,29.580973488207576,0.0,forecast_compliance
fcst_recovery_years,forecast,fcst_recovery_years,,24.0,0.0,forecast_recovery
fcst_stage4_mean_inflow,forecast,fcst_stage4_mean_inflow,,50543.37128006724,0.0,forecast_inflow
