realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
real_0034,29.752944817082344,2.338954931789054,24.0,48837.8607063198
real_0065,29.490389731455785,2.0674183055681254,24.0,50990.19899342155
real_0099,29.68154475476382,2.316047680414762,24.0,52559.39736698086
real_0068,29.47289181936428,2.1482355320783455,24.0,48929.62980855102
real_0074,29.5485993722694,2.296266926348821,25.0,50927.172631204405
real_0014,29.97424925428817,2.2622989873575605,25.0,50527.95874473834
real_0051,29.59218597768681,2.112772997847266,25.0,53297.53718848738
real_0002,29.49507475776604,2.3469844135614792,23.0,51095.04248535756
real_0003,29.983894674048987,1.9412747244160684,25.0,52500.1887466857
real_0006,29.288030860171887,2.0977689364450214,25.0,52471.078740439305
real_0010,30.226710043074245,1.942923681025711,27.0,49437.19501411924
real_0011,29.328904373816428,2.269367214444344,23.0,51182.16429315637
real_0015,29.923978213490994,2.2094119498160794,25.0,47590.83751625681
real_0017,29.591049099250522,2.122537006744018,26.0,49795.57663805409
real_0018,29.48071480792222,2.192928396773816,23.0,50945.833286582834
real_0019,29.5388764800119,2.3077110614089023,25.0,50631.73591087891
real_0020,30.0540535253607,2.0285055293783145,23.0,54254.03958375527
real_0026,29.543346195696834,2.128653306578201,25.0,48234.344548626446
real_0029,29.408418600040456,2.156181596093141,25.0,46641.91987912925
real_0035,29.453351552491625,2.2847651282997816,24.0,49977.469411173326
real_0036,29.44618158741919,2.374412922764833,23.0,52036.02650335296
real_0038,29.583192350379484,2.251962407404555,23.0,49726.07950875085
real_0040,29.59025205426405,2.003828588236175,24.0,50024.29203956464
real_0045,29.736105573541245,2.210275333553213,23.0,51189.07312799613
real_0046,29.86698273967443,2.2779382238268795,24.0,49835.646684319145
real_0054,30.038779723110153,2.114912115667231,24.0,50468.57799794385
real_0057,29.071855389319616,1.8906170940316471,24.0,49034.87478510503
real_0059,29.62309259976314,1.7909673531911636,24.0,51001.457548509265
real_0062,29.86007971145337,2.2964239188634394,26.0,49057.57317247773
real_0063,29.87892744542473,2.4156125390682988,23.0,52382.978777773336
real_0064,28.63644029642385,2.2587928114615394,26.0,48054.78280342624
real_0066,29.452632059297304,2.1155735156958713,24.0,49052.425017851594
real_0067,29.759758798644953,2.488859257409601,26.0,50714.29809467493
real_0069,29.598316456610974,2.2021616573910947,25.0,50996.52904729153
real_0070,29.62812209903511,2.189307209032549,25.0,47985.350265386165
real_0071,30.436834150808025,2.2215695762143497,25.0,50861.42360009721
real_0072,29.7339522523613,2.4404693399350705,25.0,50809.49975260992
real_0075,29.66375840256088,2.1448093908654755,23.0,53386.78625753867
real_0076,29.544847333262346,2.0975834298677185,24.0,51301.05946014398
real_0086,29.666844377071925,1.9726407276869082,25.0,50042.30529263318
real_0094,30.37671150514588,2.080654059263445,26.0,48948.79466298702
real_0095,29.519879071806038,2.325579064547803,24.0,51775.454921192904
