parnme,n_realizations,mean,std,min,p05,p50,p95,max
backfill_mult,42,1.0431868317704387,0.22319195747743642,0.3725529162260905,0.6197180629730678,1.0949041005571383,1.3473074411230754,1.3764302060437936
channel_mult,42,0.9801830932802056,0.13514369803245826,0.7420335518292219,0.7718821333691018,0.9993568859655639,1.1983248283081693,1.264745106173554
ghbcond_mult,42,1.0342690281121265,0.1443830137070065,0.6937049404364719,0.8210498176946445,1.0548585086029623,1.2459239609635602,1.3602516877814672
pp_lower_001,42,0.025551405743940686,0.2904579748825345,-0.6025975638621497,-0.44301480933808235,0.028116548758101434,0.41747480632430284,0.7521874374629856
pp_lower_002,42,0.1516248416634219,0.28579613120070546,-0.4198332793630799,-0.3540592976045526,0.23919557093729676,0.54543310362646,0.6567266706749918
pp_lower_003,42,0.06710337995619974,0.310818758975829,-0.5799081436130433,-0.4239090943092331,0.0656607728339645,0.5482465037141955,0.7806720030256111
pp_lower_004,42,0.07643392595579107,0.30784233113672765,-0.484838452812958,-0.36265341712348015,0.07702162399926162,0.49748520948377334,0.8150136228726822
pp_lower_005,42,-0.06560901796099221,0.33535891215079705,-0.7828432980480867,-0.5412794263671862,-0.11034231967218519,0.5658395770203464,0.7801776510274026
pp_lower_006,42,0.03745689605514128,0.30952806999826027,-0.5564613049459202,-0.4955080643648412,0.09385851015513069,0.4856615461878662,0.7035379110129087
pp_lower_007,42,0.06225695447002858,0.3201551511084958,-0.8314818518201347,-0.3538241957471514,0.06325820052688201,0.630645505484248,0.766715143089222
pp_lower_008,42,0.02339920917429216,0.15530197918822608,-0.28081065475710565,-0.19977513015317186,0.019264751790853994,0.24760226401251845,0.3551486856768566
pp_lower_009,42,-0.09997709967023209,0.2715984801978643,-0.6349420110093897,-0.5319469858668462,-0.146632274146694,0.3797050347078255,0.5548135997788182
pp_lower_010,42,-0.08717545312582899,0.30442469027677294,-0.7222964996288471,-0.5122884417801722,-0.12161228235340757,0.3045375818248544,0.6711994473454099
pp_lower_011,42,0.027945232199837942,0.35449167567900913,-0.5933556227759299,-0.44785717496657534,0.03352480698301258,0.7079790628948335,0.8769533865967993
pp_lower_012,42,0.06892047600917985,0.3084954006355789,-0.7352086521334256,-0.4342111869509622,0.13498349459383474,0.4935421594536713,0.6436913213534571
pp_lower_013,42,-0.05138381277154909,0.2360827564082522,-0.8557068580028766,-0.330034103550397,-0.06981226201303034,0.3067917640151383,0.3799925929591569
pp_lower_014,42,-0.04928875221468145,0.28984472917111775,-0.8270401987755311,-0.4517010608721252,-0.015038182906761823,0.37218491074182003,0.5393149004353758
pp_lower_015,42,0.010453248249239171,0.33108373134976005,-0.4862884734441636,-0.46737706541621904,0.03531346560742571,0.5573943033221691,0.8173538540869154
pp_main_001,42,-0.06605868778673932,0.36716079308279964,-0.7920748418387591,-0.5586423719364825,-0.1078965166383308,0.4817906370187632,1.0173597582487812
pp_main_002,42,-0.0015809278725195147,0.42891389526739543,-0.9815972519476934,-0.7052931723860829,0.018633879671218937,0.7118664980132966,0.7956571301033446
